set_code,set_name,number,db_card_number,db_name,db_rarity,db_image_url,found_in_scrydex
SM1p,サン&ムーン,1,001,モクロー,ー,https://images.scrydex.com/pokemon/sm1p_ja-1/medium,YES
SM1p,サン&ムーン,2,002,フクスロー,ー,https://images.scrydex.com/pokemon/sm1p_ja-2/medium,YES
SM1p,サン&ムーン,3,003,ジュナイパーGX,RR,https://images.scrydex.com/pokemon/sm1p_ja-3/medium,YES
SM1p,サン&ムーン,4,004,アゴジムシ,ー,https://images.scrydex.com/pokemon/sm1p_ja-4/medium,YES
SM1p,サン&ムーン,5,005,カリキリ,ー,https://images.scrydex.com/pokemon/sm1p_ja-5/medium,YES
SM1p,サン&ムーン,6,006,ラランテス,ー,https://images.scrydex.com/pokemon/sm1p_ja-6/medium,YES
SM1p,サン&ムーン,7,007,ニャビー,ー,https://images.scrydex.com/pokemon/sm1p_ja-7/medium,YES
SM1p,サン&ムーン,8,008,ニャヒート,ー,https://images.scrydex.com/pokemon/sm1p_ja-8/medium,YES
SM1p,サン&ムーン,9,009,ガオガエンGX,RR,https://images.scrydex.com/pokemon/sm1p_ja-9/medium,YES
SM1p,サン&ムーン,10,010,オドリドリ,ー,https://images.scrydex.com/pokemon/sm1p_ja-10/medium,YES
SM1p,サン&ムーン,11,011,ニョロモ,ー,https://images.scrydex.com/pokemon/sm1p_ja-11/medium,YES
SM1p,サン&ムーン,12,012,ニョロゾ,ー,https://images.scrydex.com/pokemon/sm1p_ja-12/medium,YES
SM1p,サン&ムーン,13,013,ニョロトノ,ー,https://images.scrydex.com/pokemon/sm1p_ja-13/medium,YES
SM1p,サン&ムーン,14,014,アシマリ,ー,https://images.scrydex.com/pokemon/sm1p_ja-14/medium,YES
SM1p,サン&ムーン,15,015,オシャマリ,ー,https://images.scrydex.com/pokemon/sm1p_ja-15/medium,YES
SM1p,サン&ムーン,16,016,アシレーヌGX,RR,https://images.scrydex.com/pokemon/sm1p_ja-16/medium,YES
SM1p,サン&ムーン,17,017,シズクモ,ー,https://images.scrydex.com/pokemon/sm1p_ja-17/medium,YES
SM1p,サン&ムーン,18,018,オニシズクモ,ー,https://images.scrydex.com/pokemon/sm1p_ja-18/medium,YES
SM1p,サン&ムーン,19,019,ナマコブシ,ー,https://images.scrydex.com/pokemon/sm1p_ja-19/medium,YES
SM1p,サン&ムーン,20,020,デンヂムシ,ー,https://images.scrydex.com/pokemon/sm1p_ja-20/medium,YES
SM1p,サン&ムーン,21,021,クワガノンGX,RR,https://images.scrydex.com/pokemon/sm1p_ja-21/medium,YES
SM1p,サン&ムーン,22,022,オドリドリ,ー,https://images.scrydex.com/pokemon/sm1p_ja-22/medium,YES
SM1p,サン&ムーン,23,023,オドリドリ,ー,https://images.scrydex.com/pokemon/sm1p_ja-23/medium,YES
SM1p,サン&ムーン,24,024,オドリドリ,ー,https://images.scrydex.com/pokemon/sm1p_ja-24/medium,YES
SM1p,サン&ムーン,25,025,ヒドイデ,ー,https://images.scrydex.com/pokemon/sm1p_ja-25/medium,YES
SM1p,サン&ムーン,26,026,ドヒドイデGX,RR,https://images.scrydex.com/pokemon/sm1p_ja-26/medium,YES
SM1p,サン&ムーン,27,027,コスモッグ,ー,https://images.scrydex.com/pokemon/sm1p_ja-27/medium,YES
SM1p,サン&ムーン,28,028,コスモウム,ー,https://images.scrydex.com/pokemon/sm1p_ja-28/medium,YES
SM1p,サン&ムーン,29,029,ルナアーラ,ー,https://images.scrydex.com/pokemon/sm1p_ja-29/medium,YES
SM1p,サン&ムーン,30,030,ウソッキー,ー,https://images.scrydex.com/pokemon/sm1p_ja-30/medium,YES
SM1p,サン&ムーン,31,031,ドロバンコ,ー,https://images.scrydex.com/pokemon/sm1p_ja-31/medium,YES
SM1p,サン&ムーン,32,032,バンバドロ,ー,https://images.scrydex.com/pokemon/sm1p_ja-32/medium,YES
SM1p,サン&ムーン,33,033,ナゲツケサル,ー,https://images.scrydex.com/pokemon/sm1p_ja-33/medium,YES
SM1p,サン&ムーン,34,034,スナバァ,ー,https://images.scrydex.com/pokemon/sm1p_ja-34/medium,YES
SM1p,サン&ムーン,35,035,シロデスナ,ー,https://images.scrydex.com/pokemon/sm1p_ja-35/medium,YES
SM1p,サン&ムーン,36,036,アローラコラッタ,ー,https://images.scrydex.com/pokemon/sm1p_ja-36/medium,YES
SM1p,サン&ムーン,37,037,アローララッタ,ー,https://images.scrydex.com/pokemon/sm1p_ja-37/medium,YES
SM1p,サン&ムーン,38,038,アブソル,ー,https://images.scrydex.com/pokemon/sm1p_ja-38/medium,YES
SM1p,サン&ムーン,39,039,ソルガレオ,ー,https://images.scrydex.com/pokemon/sm1p_ja-39/medium,YES
SM1p,サン&ムーン,40,040,ニンフィアGX,RR,https://images.scrydex.com/pokemon/sm1p_ja-40/medium,YES
SM1p,サン&ムーン,41,041,イーブイ,ー,https://images.scrydex.com/pokemon/sm1p_ja-41/medium,YES
SM1p,サン&ムーン,42,042,ジジーロンGX,RR,https://images.scrydex.com/pokemon/sm1p_ja-42/medium,YES
SM1p,サン&ムーン,43,043,エネルギーリサイクル,ー,https://images.scrydex.com/pokemon/sm1p_ja-43/medium,YES
SM1p,サン&ムーン,44,044,改造ハンマー,ー,https://images.scrydex.com/pokemon/sm1p_ja-44/medium,YES
SM1p,サン&ムーン,45,045,ハイパーボール,ー,https://images.scrydex.com/pokemon/sm1p_ja-45/medium,YES
SM1p,サン&ムーン,46,046,ふしぎなアメ,ー,https://images.scrydex.com/pokemon/sm1p_ja-46/medium,YES
SM1p,サン&ムーン,47,047,マルチつけかえ,ー,https://images.scrydex.com/pokemon/sm1p_ja-47/medium,YES
SM1p,サン&ムーン,48,048,まんたんのくすり,ー,https://images.scrydex.com/pokemon/sm1p_ja-48/medium,YES
SM1p,サン&ムーン,49,049,こだわりハチマキ,ー,https://images.scrydex.com/pokemon/sm1p_ja-49/medium,YES
SM1p,サン&ムーン,50,050,月輪の祭壇,ー,https://images.scrydex.com/pokemon/sm1p_ja-50/medium,YES
SM1p,サン&ムーン,51,051,日輪の祭壇,ー,https://images.scrydex.com/pokemon/sm1p_ja-51/medium,YES
SM1p,サン&ムーン,52,052,ジュナイパーGX,SR,https://images.scrydex.com/pokemon/sm1p_ja-52/medium,YES
SM1p,サン&ムーン,53,053,ガオガエンGX,SR,https://images.scrydex.com/pokemon/sm1p_ja-53/medium,YES
SM1p,サン&ムーン,54,054,アシレーヌGX,SR,https://images.scrydex.com/pokemon/sm1p_ja-54/medium,YES
SM1p,サン&ムーン,55,055,クワガノンGX,SR,https://images.scrydex.com/pokemon/sm1p_ja-55/medium,YES
SM1p,サン&ムーン,56,056,ドヒドイデGX,SR,https://images.scrydex.com/pokemon/sm1p_ja-56/medium,YES
SM1p,サン&ムーン,57,057,ニンフィアGX,SR,https://images.scrydex.com/pokemon/sm1p_ja-57/medium,YES
SM1p,サン&ムーン,58,058,ジジーロンGX,SR,https://images.scrydex.com/pokemon/sm1p_ja-58/medium,YES
SM1p,サン&ムーン,59,059,ジュナイパーGX,HR,https://images.scrydex.com/pokemon/sm1p_ja-59/medium,YES
SM1p,サン&ムーン,60,060,ガオガエンGX,HR,https://images.scrydex.com/pokemon/sm1p_ja-60/medium,YES
SM1p,サン&ムーン,61,061,アシレーヌGX,HR,https://images.scrydex.com/pokemon/sm1p_ja-61/medium,YES
SM1p,サン&ムーン,62,062,クワガノンGX,HR,https://images.scrydex.com/pokemon/sm1p_ja-62/medium,YES
SM1p,サン&ムーン,63,063,ドヒドイデGX,HR,https://images.scrydex.com/pokemon/sm1p_ja-63/medium,YES
SM1p,サン&ムーン,64,064,ニンフィアGX,HR,https://images.scrydex.com/pokemon/sm1p_ja-64/medium,YES
SM1p,サン&ムーン,65,065,ジジーロンGX,HR,https://images.scrydex.com/pokemon/sm1p_ja-65/medium,YES
SM1p,サン&ムーン,66,066,ふしぎなアメ,UR,https://images.scrydex.com/pokemon/sm1p_ja-66/medium,YES
SM1p,サン&ムーン,67,067,ダブル無色エネルギー,UR,https://images.scrydex.com/pokemon/sm1p_ja-67/medium,YES
SM1p,サン&ムーン,68,068,基本草エネルギー,UR,https://images.scrydex.com/pokemon/sm1p_ja-68/medium,YES
SM1p,サン&ムーン,70,070,基本炎エネルギー,,https://images.scrydex.com/pokemon/sm1p_ja-70/large,YES
SM1p,サン&ムーン,71,071,基本超エネルギー,,https://images.scrydex.com/pokemon/sm1p_ja-71/large,YES
SV4a,シャイニートレジャーex,1,001,ナゾノクサ,,https://images.scrydex.com/pokemon/sv4a_ja-1/medium,YES
SV4a,シャイニートレジャーex,2,002,クサイハナ,,https://images.scrydex.com/pokemon/sv4a_ja-2/medium,YES
SV4a,シャイニートレジャーex,3,003,ラフレシア,,https://images.scrydex.com/pokemon/sv4a_ja-3/medium,YES
SV4a,シャイニートレジャーex,4,004,ストライク,,https://images.scrydex.com/pokemon/sv4a_ja-4/medium,YES
