set_code,set_name,scrydex_id,card_number,position_vs_db_max,db_max_number,scrydex_name,scrydex_rarity,scrydex_image_url,scrydex_card_url,scrydex_set_url
SM1p,サン&ムーン,sm1p_ja,69,INSIDE_DB_RANGE,71,,,https://images.scrydex.com/pokemon/sm1p_ja-69/medium,https://scrydex.com/pokemon/cards/grass-energy/sm1p_ja-69?variant=reverseHolofoil,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja
SM1p,サン&ムーン,sm1p_ja,72,BEYOND_DB_MAX,71,,,https://images.scrydex.com/pokemon/sm1p_ja-72/medium,https://scrydex.com/pokemon/cards/metal-energy/sm1p_ja-72?variant=reverseHolofoil,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja
SM1p,サン&ムーン,sm1p_ja,73,BEYOND_DB_MAX,71,,,https://images.scrydex.com/pokemon/sm1p_ja-73/medium,https://scrydex.com/pokemon/cards/fairy-energy/sm1p_ja-73?variant=reverseHolofoil,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja
SV4a,シャイニートレジャーex,sv4a_ja,127,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-127/medium,https://scrydex.com/pokemon/cards/shroodle/sv4a_ja-127?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,128,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-128/medium,https://scrydex.com/pokemon/cards/grafaiai/sv4a_ja-128?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,129,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-129/medium,https://scrydex.com/pokemon/cards/scizor/sv4a_ja-129?variant=holofoil,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,130,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-130/medium,https://scrydex.com/pokemon/cards/varoom/sv4a_ja-130?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,131,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-131/medium,https://scrydex.com/pokemon/cards/revavroom/sv4a_ja-131?variant=holofoil,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,132,INSIDE_DB_RANGE,360,,RR,https://images.scrydex.com/pokemon/sv4a_ja-132/medium,https://scrydex.com/pokemon/cards/iron-treads-ex/sv4a_ja-132?variant=holofoil,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,133,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-133/medium,https://scrydex.com/pokemon/cards/gholdengo/sv4a_ja-133?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,134,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-134/medium,https://scrydex.com/pokemon/cards/noibat/sv4a_ja-134?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,135,INSIDE_DB_RANGE,360,,RR,https://images.scrydex.com/pokemon/sv4a_ja-135/medium,https://scrydex.com/pokemon/cards/noivern-ex/sv4a_ja-135?variant=holofoil,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,136,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-136/medium,https://scrydex.com/pokemon/cards/cyclizar/sv4a_ja-136?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,137,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-137/medium,https://scrydex.com/pokemon/cards/pidgey/sv4a_ja-137?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,138,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-138/medium,https://scrydex.com/pokemon/cards/pidgeotto/sv4a_ja-138?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,139,INSIDE_DB_RANGE,360,,RR,https://images.scrydex.com/pokemon/sv4a_ja-139/medium,https://scrydex.com/pokemon/cards/pidgeot-ex/sv4a_ja-139?variant=holofoil,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,140,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-140/medium,https://scrydex.com/pokemon/cards/jigglypuff/sv4a_ja-140?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,141,INSIDE_DB_RANGE,360,,RR,https://images.scrydex.com/pokemon/sv4a_ja-141/medium,https://scrydex.com/pokemon/cards/wigglytuff-ex/sv4a_ja-141?variant=holofoil,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,142,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-142/medium,https://scrydex.com/pokemon/cards/doduo/sv4a_ja-142?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,143,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-143/medium,https://scrydex.com/pokemon/cards/dodrio/sv4a_ja-143?variant=holofoil,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,144,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-144/medium,https://scrydex.com/pokemon/cards/ditto/sv4a_ja-144?variant=holofoil,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,145,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-145/medium,https://scrydex.com/pokemon/cards/snorlax/sv4a_ja-145?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,146,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-146/medium,https://scrydex.com/pokemon/cards/wingull/sv4a_ja-146?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,148,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-148/medium,https://scrydex.com/pokemon/cards/skwovet/sv4a_ja-148?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,149,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-149/medium,https://scrydex.com/pokemon/cards/greedent/sv4a_ja-149?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,150,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-150/medium,https://scrydex.com/pokemon/cards/lechonk/sv4a_ja-150?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,151,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-151/medium,https://scrydex.com/pokemon/cards/oinkologne/sv4a_ja-151?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,152,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-152/medium,https://scrydex.com/pokemon/cards/tandemaus/sv4a_ja-152?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,153,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-153/medium,https://scrydex.com/pokemon/cards/maushold/sv4a_ja-153?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,154,INSIDE_DB_RANGE,360,,RR,https://images.scrydex.com/pokemon/sv4a_ja-154/medium,https://scrydex.com/pokemon/cards/squawkabilly-ex/sv4a_ja-154?variant=holofoil,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,155,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-155/medium,https://scrydex.com/pokemon/cards/flamigo/sv4a_ja-155?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,156,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-156/medium,https://scrydex.com/pokemon/cards/electric-generator/sv4a_ja-156?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,157,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-157/medium,https://scrydex.com/pokemon/cards/superior-energy-retrieval/sv4a_ja-157?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,158,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-158/medium,https://scrydex.com/pokemon/cards/super-rod/sv4a_ja-158?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,159,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-159/medium,https://scrydex.com/pokemon/cards/nest-ball/sv4a_ja-159?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,160,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-160/medium,https://scrydex.com/pokemon/cards/nemonas-backpack/sv4a_ja-160?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,161,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-161/medium,https://scrydex.com/pokemon/cards/ultra-ball/sv4a_ja-161?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,162,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-162/medium,https://scrydex.com/pokemon/cards/letter-of-encouragement/sv4a_ja-162?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,163,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-163/medium,https://scrydex.com/pokemon/cards/rare-candy/sv4a_ja-163?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,164,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-164/medium,https://scrydex.com/pokemon/cards/rock-chestplate/sv4a_ja-164?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,165,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-165/medium,https://scrydex.com/pokemon/cards/big-air-balloon/sv4a_ja-165?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,166,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-166/medium,https://scrydex.com/pokemon/cards/rigid-band/sv4a_ja-166?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
SV4a,シャイニートレジャーex,sv4a_ja,167,INSIDE_DB_RANGE,360,,,https://images.scrydex.com/pokemon/sv4a_ja-167/medium,https://scrydex.com/pokemon/cards/leftovers/sv4a_ja-167?variant=normal,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,1,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-1/medium,https://scrydex.com/pokemon/cards/oddish/xy_ja-1?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,2,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-2/medium,https://scrydex.com/pokemon/cards/gloom/xy_ja-2?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,3,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-3/medium,https://scrydex.com/pokemon/cards/vileplume/xy_ja-3?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,4,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-4/medium,https://scrydex.com/pokemon/cards/spinarak/xy_ja-4?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,5,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-5/medium,https://scrydex.com/pokemon/cards/ariados/xy_ja-5?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,6,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-6/medium,https://scrydex.com/pokemon/cards/sceptile-ex/xy_ja-6?variant=holofoil,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,7,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-7/medium,https://scrydex.com/pokemon/cards/m-sceptile-ex/xy_ja-7?variant=holofoil,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,8,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-8/medium,https://scrydex.com/pokemon/cards/combee/xy_ja-8?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,9,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-9/medium,https://scrydex.com/pokemon/cards/vespiquen/xy_ja-9?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,10,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-10/medium,https://scrydex.com/pokemon/cards/flareon/xy_ja-10?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,11,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-11/medium,https://scrydex.com/pokemon/cards/entei/xy_ja-11?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,13,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-13/medium,https://scrydex.com/pokemon/cards/m-camerupt-ex/xy_ja-13?variant=holofoil,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,14,INSIDE_DB_RANGE,188,,,https://images.scrydex.com/pokemon/xy_ja-14/medium,https://scrydex.com/pokemon/cards/volcanion/xy_ja-14?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
