card_id,series_name,set_code,set_name,scrydex_id,card_number,card_name,current_rarity,scrydex_rarity,scrydex_rarity_raw,image_url,status
b8f816a5-47eb-43a9-8dca-6ebce93e1ccf,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,009,ゴリランダーV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038654_P_GORIRANDAV.jpg,RARITY_CHANGE
3a405360-7a58-4680-98c3-691f1a7776ae,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,016,ワタシラガV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038661_P_WATASHIRAGAV.jpg,RARITY_CHANGE
306c57a5-a3d7-4174-8070-30ce75215b58,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,027,マルヤクデV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038672_P_MARUYAKUDEV.jpg,RARITY_CHANGE
b136a2e1-017d-4d0c-b4da-3046046fc2a3,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,031,ラプラスV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038676_P_RAPURASUV.jpg,RARITY_CHANGE
a596bd2d-f8d0-4edd-a565-a7880a3d0421,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,056,パルスワンV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038701_P_PARUSUWANV.jpg,RARITY_CHANGE
7cf08544-de5b-40a9-a3d8-e92df9e68999,SVシリーズ,SV7,ステラミラクル,sv7_ja,096,デラックスボム,ー,ACE,ACE,https://assets.tcgdex.net/ja/SV/SV7/096/high.webp,RARITY_CHANGE
a35778b7-1e8d-47fa-9eff-7fa6f78854dc,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,059,ストリンダーV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038704_P_SUTORINDAV.jpg,RARITY_CHANGE
79dece4e-a14b-40cd-b737-d951fee264f5,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,084,イエッサンV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038729_P_IESSANV.jpg,RARITY_CHANGE
7934ced1-9786-4915-b36e-6f08beb47d5e,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,088,ドラパルトV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038733_P_DORAPARUTOV.jpg,RARITY_CHANGE
5a3dd4a7-f3a3-4c72-a79f-827b4aa6bc52,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,201,フクスロー,,R,R,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038933_P_FUKUSURO.jpg,RARITY_CHANGE
96759d7f-b6d8-40eb-8018-3c1ae00a9015,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,202,ジュナイパー,,R,R,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038934_P_JUNAIPA.jpg,RARITY_CHANGE
47f970f0-aa7d-43cb-ba64-748f6a55d3cd,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,102,タイレーツV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038747_P_TAIRETSUV.jpg,RARITY_CHANGE
49ceb397-4bb9-4060-94a1-ad7e15299f33,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,108,クロバットV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038753_P_KUROBATTOV.jpg,RARITY_CHANGE
e29034b4-cfe5-4003-840a-9e6504f22ba1,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,124,ムゲンダイナV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038769_P_MUGENDAINAV.jpg,RARITY_CHANGE
cf1daa25-2acf-4839-b310-e977a79a8142,SMシリーズ,SM1p,サン＆ムーン,sm1p_ja,063,ドヒドイデGX,UR,HR,HR,,RARITY_CHANGE
7a2a11e1-4d5e-4644-a0c4-67550b0805b4,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,137,ザシアンV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038782_P_ZASHIANV.jpg,RARITY_CHANGE
4c67d8dc-846d-47dc-8226-0a9096614da5,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,139,ザマゼンタV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038784_P_ZAMAZENTAV.jpg,RARITY_CHANGE
55999009-a49c-4bc3-995e-b5137b9dd49c,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,140,メタモンV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038785_P_METAMONV.jpg,RARITY_CHANGE
9bf75627-1e00-44c6-a315-7dc6de3c8a46,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,154,バイウールーV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038799_P_BAIURUV.jpg,RARITY_CHANGE
033852ed-dc66-4184-8826-6184a071b7ba,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,155,ウッウV,,RR,RR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038800_P_UTSUUV.jpg,RARITY_CHANGE
4ae1fa10-3fc5-4215-9d3e-82960ab485d0,ソード・シールド,S4a,シャイニースターV,swsh4a_ja,191,ウカッツ,,SR,SR,https://www.pokemon-card.com/assets/images/card_images/large/S4a/038923_T_UKATTSU.jpg,RARITY_CHANGE
