scrydex_id,url,rows_found,fetch_status,error
bw1b_ja,https://scrydex.com/pokemon/expansions/black-collection/bw1b_ja,56,OK,
bw1w_ja,https://scrydex.com/pokemon/expansions/white-collection/bw1w_ja,56,OK,
bw2_ja,https://scrydex.com/pokemon/expansions/red-collection/bw2_ja,72,OK,
bw3h_ja,https://scrydex.com/pokemon/expansions/hail-blizzard/bw3h_ja,57,OK,
bw3p_ja,https://scrydex.com/pokemon/expansions/psycho-drive/bw3p_ja,57,OK,
bw4_ja,https://scrydex.com/pokemon/expansions/dark-rush/bw4_ja,76,OK,
bw5d_ja,https://scrydex.com/pokemon/expansions/dragon-blade/bw5d_ja,55,OK,
bw5s_ja,https://scrydex.com/pokemon/expansions/dragon-blast/bw5s_ja,55,OK,
bw6c_ja,https://scrydex.com/pokemon/expansions/cold-flare/bw6c_ja,65,OK,
bw6f_ja,https://scrydex.com/pokemon/expansions/freeze-bolt/bw6f_ja,65,OK,
bw7_ja,https://scrydex.com/pokemon/expansions/plasma-gale/bw7_ja,79,OK,
bw8s_ja,https://scrydex.com/pokemon/expansions/spiral-force/bw8s_ja,58,OK,
bw8t_ja,https://scrydex.com/pokemon/expansions/thunder-knuckle/bw8t_ja,58,OK,
bw9_ja,https://scrydex.com/pokemon/expansions/megalo-cannon/bw9_ja,86,OK,
cp1_ja,https://scrydex.com/pokemon/expansions/magma-gang-vs-aqua-gang-double-crisis/cp1_ja,34,OK,
cp2_ja,https://scrydex.com/pokemon/expansions/legendary-shine-collection/cp2_ja,27,OK,
cp3_ja,https://scrydex.com/pokemon/expansions/pokkyun-collection/cp3_ja,32,OK,
cp4_ja,https://scrydex.com/pokemon/expansions/premium-champion-pack/cp4_ja,140,OK,
cp5_ja,https://scrydex.com/pokemon/expansions/mythical-legendary-dream-shine-collection/cp5_ja,38,OK,
cp6_ja,https://scrydex.com/pokemon/expansions/expansion-pack-20th-anniversary/cp6_ja,103,OK,
ds1_ja,https://scrydex.com/pokemon/expansions/dragon-selection/ds1_ja,20,OK,
ebb1_ja,https://scrydex.com/pokemon/expansions/ex-battle-boost/ebb1_ja,99,OK,
sm10_ja,https://scrydex.com/pokemon/expansions/double-blaze/sm10_ja,116,OK,
sm10a_ja,https://scrydex.com/pokemon/expansions/gg-end/sm10a_ja,69,OK,
sm10b_ja,https://scrydex.com/pokemon/expansions/sky-legend/sm10b_ja,69,OK,
sm11_ja,https://scrydex.com/pokemon/expansions/miracle-twin/sm11_ja,115,OK,
sm11a_ja,https://scrydex.com/pokemon/expansions/remix-bout/sm11a_ja,80,OK,
sm11b_ja,https://scrydex.com/pokemon/expansions/dream-league/sm11b_ja,75,OK,
sm12_ja,https://scrydex.com/pokemon/expansions/alter-genesis/sm12_ja,117,OK,
sm12a_ja,https://scrydex.com/pokemon/expansions/tag-team-gx-tag-all-stars/sm12a_ja,226,OK,
sm1m_ja,https://scrydex.com/pokemon/expansions/collection-moon/sm1m_ja,73,OK,
sm1p_ja,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja,70,OK,
sm1s_ja,https://scrydex.com/pokemon/expansions/collection-sun/sm1s_ja,73,OK,
sm2k_ja,https://scrydex.com/pokemon/expansions/islands-await-you/sm2k_ja,62,OK,
sm2l_ja,https://scrydex.com/pokemon/expansions/alolan-moonlight/sm2l_ja,55,OK,
sm2p_ja,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,70,OK,
sm3h_ja,https://scrydex.com/pokemon/expansions/to-have-seen-the-battle-rainbow/sm3h_ja,64,OK,
sm3n_ja,https://scrydex.com/pokemon/expansions/darkness-that-consumes-light/sm3n_ja,64,OK,
sm3p_ja,https://scrydex.com/pokemon/expansions/shining-legends/sm3p_ja,82,OK,
sm4a_ja,https://scrydex.com/pokemon/expansions/ultradimensional-beasts/sm4a_ja,62,OK,
sm4p_ja,https://scrydex.com/pokemon/expansions/gx-battle-boost/sm4p_ja,125,OK,
sm4s_ja,https://scrydex.com/pokemon/expansions/awakened-heroes/sm4s_ja,62,OK,
sm5m_ja,https://scrydex.com/pokemon/expansions/ultra-moon/sm5m_ja,78,OK,
sm5p_ja,https://scrydex.com/pokemon/expansions/ultra-force/sm5p_ja,63,OK,
sm5s_ja,https://scrydex.com/pokemon/expansions/ultra-sun/sm5s_ja,78,OK,
sm6_ja,https://scrydex.com/pokemon/expansions/forbidden-light/sm6_ja,110,OK,
sm6a_ja,https://scrydex.com/pokemon/expansions/dragon-storm/sm6a_ja,66,OK,
sm6b_ja,https://scrydex.com/pokemon/expansions/champion-road/sm6b_ja,86,OK,
sm7_ja,https://scrydex.com/pokemon/expansions/sky-splitting-charisma/sm7_ja,112,OK,
sm7a_ja,https://scrydex.com/pokemon/expansions/thunderclap-spark/sm7a_ja,73,OK,
sm7b_ja,https://scrydex.com/pokemon/expansions/fairy-rise/sm7b_ja,63,OK,
sm8_ja,https://scrydex.com/pokemon/expansions/super-burst-impact/sm8_ja,111,OK,
sm8a_ja,https://scrydex.com/pokemon/expansions/dark-order/sm8a_ja,65,OK,
sm8b_ja,https://scrydex.com/pokemon/expansions/gx-ultra-shiny/sm8b_ja,250,OK,
sm9_ja,https://scrydex.com/pokemon/expansions/tag-bolt/sm9_ja,118,OK,
sm9a_ja,https://scrydex.com/pokemon/expansions/night-unison/sm9a_ja,70,OK,
sm9b_ja,https://scrydex.com/pokemon/expansions/full-metal-wall/sm9b_ja,69,OK,
smm_ja,https://scrydex.com/pokemon/expansions/tag-team-gx-starter-sets/smm_ja,31,OK,
sv10_ja,https://scrydex.com/pokemon/expansions/glory-of-team-rocket/sv10_ja,132,OK,
sv11b_ja,https://scrydex.com/pokemon/expansions/black-bolt/sv11b_ja,174,OK,
sv11w_ja,https://scrydex.com/pokemon/expansions/white-flare/sv11w_ja,174,OK,
sv1a_ja,https://scrydex.com/pokemon/expansions/triplet-beat/sv1a_ja,103,OK,
sv1s_ja,https://scrydex.com/pokemon/expansions/scarlet-ex/sv1s_ja,108,OK,
sv1v_ja,https://scrydex.com/pokemon/expansions/violet-ex/sv1v_ja,108,OK,
sv2a_ja,https://scrydex.com/pokemon/expansions/pokmon-card-151/sv2a_ja,210,OK,
sv2d_ja,https://scrydex.com/pokemon/expansions/clay-burst/sv2d_ja,99,OK,
sv2p_ja,https://scrydex.com/pokemon/expansions/snow-hazard/sv2p_ja,99,OK,
sv3_ja,https://scrydex.com/pokemon/expansions/ruler-of-the-black-flame/sv3_ja,141,OK,
sv3a_ja,https://scrydex.com/pokemon/expansions/raging-surf/sv3a_ja,92,OK,
sv4a_ja,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,250,OK,
sv4k_ja,https://scrydex.com/pokemon/expansions/ancient-roar/sv4k_ja,95,OK,
sv4m_ja,https://scrydex.com/pokemon/expansions/future-flash/sv4m_ja,95,OK,
sv5a_ja,https://scrydex.com/pokemon/expansions/crimson-haze/sv5a_ja,96,OK,
sv5k_ja,https://scrydex.com/pokemon/expansions/wild-force/sv5k_ja,100,OK,
sv5m_ja,https://scrydex.com/pokemon/expansions/cyber-judge/sv5m_ja,100,OK,
sv6_ja,https://scrydex.com/pokemon/expansions/mask-of-change/sv6_ja,133,OK,
sv6a_ja,https://scrydex.com/pokemon/expansions/night-wanderer/sv6a_ja,94,OK,
sv7_ja,https://scrydex.com/pokemon/expansions/stellar-miracle/sv7_ja,135,OK,
sv7a_ja,https://scrydex.com/pokemon/expansions/paradise-dragona/sv7a_ja,94,OK,
sv8_ja,https://scrydex.com/pokemon/expansions/super-electric-breaker/sv8_ja,138,OK,
sv8a_ja,https://scrydex.com/pokemon/expansions/terastal-festival-ex/sv8a_ja,237,OK,
sv9_ja,https://scrydex.com/pokemon/expansions/battle-partners/sv9_ja,132,OK,
sv9a_ja,https://scrydex.com/pokemon/expansions/hot-air-arena/sv9a_ja,92,OK,
svod_ja,https://scrydex.com/pokemon/expansions/stevens-beldum-metagross-ex-starter-set-ex/svod_ja,19,OK,
svom_ja,https://scrydex.com/pokemon/expansions/marnies-morpeko-grimmsnarl-ex-starter-set-ex/svom_ja,20,OK,
swsh10a_ja,https://scrydex.com/pokemon/expansions/dark-phantasma/swsh10a_ja,99,OK,
swsh10b_ja,https://scrydex.com/pokemon/expansions/pokmon-go/swsh10b_ja,101,OK,
swsh10d_ja,https://scrydex.com/pokemon/expansions/time-gazer/swsh10d_ja,88,OK,
swsh10p_ja,https://scrydex.com/pokemon/expansions/space-juggler/swsh10p_ja,88,OK,
swsh11_ja,https://scrydex.com/pokemon/expansions/lost-abyss/swsh11_ja,127,OK,
swsh11a_ja,https://scrydex.com/pokemon/expansions/incandescent-arcana/swsh11a_ja,94,OK,
swsh12_ja,https://scrydex.com/pokemon/expansions/paradigm-trigger/swsh12_ja,125,OK,
swsh12a_ja,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja,250,OK,
swsh1a_ja,https://scrydex.com/pokemon/expansions/vmax-rising/swsh1a_ja,86,OK,
swsh1h_ja,https://scrydex.com/pokemon/expansions/shield/swsh1h_ja,75,OK,
swsh1w_ja,https://scrydex.com/pokemon/expansions/sword/swsh1w_ja,75,OK,
swsh2_ja,https://scrydex.com/pokemon/expansions/rebellion-crash/swsh2_ja,115,OK,
swsh2a_ja,https://scrydex.com/pokemon/expansions/explosive-walker/swsh2a_ja,86,OK,
swsh3_ja,https://scrydex.com/pokemon/expansions/infinity-zone/swsh3_ja,119,OK,
swsh3a_ja,https://scrydex.com/pokemon/expansions/legendary-heartbeat/swsh3a_ja,94,OK,
swsh4_ja,https://scrydex.com/pokemon/expansions/amazing-volt-tackle/swsh4_ja,121,OK,
swsh4a_ja,https://scrydex.com/pokemon/expansions/shiny-star-v/swsh4a_ja,250,OK,
swsh5a_ja,https://scrydex.com/pokemon/expansions/peerless-fighters/swsh5a_ja,96,OK,
swsh5i_ja,https://scrydex.com/pokemon/expansions/single-strike-master/swsh5i_ja,91,OK,
swsh5r_ja,https://scrydex.com/pokemon/expansions/rapid-strike-master/swsh5r_ja,91,OK,
swsh6a_ja,https://scrydex.com/pokemon/expansions/eevee-heroes/swsh6a_ja,101,OK,
swsh6h_ja,https://scrydex.com/pokemon/expansions/silver-lance/swsh6h_ja,95,OK,
swsh6k_ja,https://scrydex.com/pokemon/expansions/jet-black-spirit/swsh6k_ja,95,OK,
swsh7d_ja,https://scrydex.com/pokemon/expansions/skyscraping-perfection/swsh7d_ja,90,OK,
swsh7r_ja,https://scrydex.com/pokemon/expansions/blue-sky-stream/swsh7r_ja,90,OK,
swsh8_ja,https://scrydex.com/pokemon/expansions/fusion-arts/swsh8_ja,129,OK,
swsh8a_ja,https://scrydex.com/pokemon/expansions/25th-anniversary-collection/swsh8a_ja,38,OK,
swsh8b_ja,https://scrydex.com/pokemon/expansions/vmax-climax/swsh8b_ja,250,OK,
swsh9_ja,https://scrydex.com/pokemon/expansions/star-birth/swsh9_ja,127,OK,
swsh9a_ja,https://scrydex.com/pokemon/expansions/battle-region/swsh9a_ja,93,OK,
wcs23_ja,https://scrydex.com/pokemon/expansions/world-championships-2023-yokohama-deck-pikachu/wcs23_ja,30,OK,
xy10_ja,https://scrydex.com/pokemon/expansions/awakening-psychic-king/xy10_ja,88,OK,
xy1x_ja,https://scrydex.com/pokemon/expansions/collection-x/xy1x_ja,63,OK,
xy1y_ja,https://scrydex.com/pokemon/expansions/collection-y/xy1y_ja,63,OK,
xy2_ja,https://scrydex.com/pokemon/expansions/wild-blaze/xy2_ja,90,OK,
xy3_ja,https://scrydex.com/pokemon/expansions/rising-fist/xy3_ja,105,OK,
xy4_ja,https://scrydex.com/pokemon/expansions/phantom-gate/xy4_ja,97,OK,
xy5g_ja,https://scrydex.com/pokemon/expansions/gaia-volcano/xy5g_ja,80,OK,
xy5t_ja,https://scrydex.com/pokemon/expansions/tidal-storm/xy5t_ja,80,OK,
xy6_ja,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,91,OK,
xy7_ja,https://scrydex.com/pokemon/expansions/bandit-ring/xy7_ja,97,OK,
xy8b_ja,https://scrydex.com/pokemon/expansions/blue-shock/xy8b_ja,65,OK,
xy8r_ja,https://scrydex.com/pokemon/expansions/red-flash/xy8r_ja,65,OK,
xy9_ja,https://scrydex.com/pokemon/expansions/rage-of-the-broken-heavens/xy9_ja,89,OK,
xy_ja,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,188,OK,
