set_id,set_code,set_name,scrydex_set_id,error
7816388b-32e3-4c5e-9815-b552741bee9c,BW1-Bb,ポケモンカードゲームBW 拡張パック「ブラックコレクション」,bw1b_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw1b_ja')
b40da42f-59cd-4cf5-b07d-0a4e0b111b12,BW1-Bw,ポケモンカードゲームBW 拡張パック「ホワイトコレクション」,bw1w_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw1w_ja')
eb0a6865-84ff-4f85-b031-54c9d4e4c14d,BW10-B,ポケモンカードゲームBW コンセプトパック「EXバトルブースト」,ebb1_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/ebb1_ja')
57924c09-76eb-4558-9b20-3158526e6c65,BW2-B,ポケモンカードゲームBW 拡張パック「レッドコレクション」,bw2_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw2_ja')
eeb4f01f-3792-421f-9dc9-6a8799cd6a06,BW3-Bh,ポケモンカードゲームBW 拡張パック「ヘイルブリザード」,bw3h_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw3h_ja')
b7b434e5-3fee-4321-a856-7cb6afbe5941,BW3-Bp,ポケモンカードゲームBW 拡張パック「サイコドライブ」,bw3p_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw3p_ja')
20672802-91f9-40b4-909f-312ffba0dd5b,BW4-B,ポケモンカードゲームBW 拡張パック「ダークラッシュ」,bw4_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw4_ja')
6b8faf93-bc0b-4539-aca0-5b0cdcba2d41,BW5-Brn,ポケモンカードゲームBW 拡張パック「リューノブレード」,bw5d_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw5d_ja')
790d2460-b945-4a62-ac80-f5a10254b191,BW5-Brz,ポケモンカードゲームBW　拡張パック「リューズブラスト」,bw5s_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw5s_ja')
55fb9c24-1735-4a8c-b090-eebabf950f94,BW6-Bc,ポケモンカードゲームBW 拡張パック「コールドフレア」,bw6c_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw6c_ja')
b0253502-abfb-4157-a4fc-41821a8bd9f6,BW6-Bf,ポケモンカードゲームBW 拡張パック「フリーズボルト」,bw6f_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw6f_ja')
d80a5f18-cad8-457f-90e6-3fbfd527f8c2,BW7-B,ポケモンカードゲームBW 拡張パック「プラズマゲイル」,bw7_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw7_ja')
3b23961b-060c-4eec-b215-11dcd659f7a9,BW8-Brf,ポケモンカードゲームBW 拡張パック「ラセンフォース」,bw8s_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw8s_ja')
71a210ff-9d68-4eed-900a-43b5f14a70c6,BW8-Brn,ポケモンカードゲームBW 拡張パック「ライデンナックル」,bw8t_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw8t_ja')
2f7aa653-531c-4744-b532-e3fead1dfa1f,BW9-B,ポケモンカードゲームBW 拡張パック「メガロキャノン」,bw9_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/bw9_ja')
cbbbd49a-cc8b-4bbe-83f2-29ebc09f25e3,CP1,マグマ団VSアクア団 ダブルクライシス,cp1_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/cp1_ja')
da8834cb-2787-4c61-83c5-8ec8bc913a8a,CP2,伝説キラコレクション,cp2_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/cp2_ja')
5f734794-2cd7-4671-b390-7a1f33222268,CP3,ポケモンカードゲームXY BREAK コンセプトパック「ポケキュンコレクション」,cp3_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/cp3_ja')
a4b22717-7318-403a-8743-77bfda0624d7,CP4,ポケモンカードゲームXY BREAK プレミアムチャンピオンパック「EX×M×BREAK」,cp4_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/cp4_ja')
905e9463-b7ea-4ce1-9b8d-6ecd68b302ce,CP5,ポケモンカードゲームXY BREAK コンセプトパック「幻・伝説ドリームキラコレクション」,cp5_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/cp5_ja')
13ac4f0e-0e0f-4ab3-9fa0-933a49903236,CP6,ポケモンカードゲームXY BREAK コンセプトパック「ポケットモンスターカードゲーム 拡張パック 20th Anniversary」,cp6_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/cp6_ja')
853adb35-1890-4fd2-9969-7ab871a0570a,DS,ポケモンカードゲームBW 拡張パック「ドラゴンセレクション」,ds1_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/ds1_ja')
7232c008-006b-4250-8b7a-d6e96202a657,S10D,拡張パック「タイムゲイザー」,swsh10d_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/swsh10d_ja')
6e0a46c7-e469-4972-ba98-131cf67c7c94,S10P,スペースジャグラー,swsh10p_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/swsh10p_ja')
54450e62-c2ee-4136-b175-6191e3a2acfc,S10a,ダークファンタズマ,swsh10a_ja,HTTPError('404 Client Error: Not Found for url: https://scrydex.com/pokemon/cards/swsh10a_ja')
