series_name,set_code,set_name,scrydex_id,db_cards,scrydex_numbers_found,missing_in_db,db_not_found_in_scrydex,explicit_rarity_numbers
ソード・シールド,S10a,ダークファンタズマ,swsh10a_ja,99,99,0,0,94
ソード・シールド,S10P,スペースジャグラー,swsh10p_ja,88,88,0,0,88
ソード・シールド,S11,ロストアビス,swsh11_ja,127,127,0,0,127
ソード・シールド,S11a,白熱のアルカナ,swsh11a_ja,94,94,0,0,89
ソード・シールド,S12,パラダイムトリガー,swsh12_ja,125,125,0,0,125
ソード・シールド,S12a,VSTARユニバース,swsh12a_ja,258,250,0,8,125
ソード・シールド,S5I,一撃マスター,swsh5i_ja,91,91,0,0,91
ソード・シールド,S6H,白銀のランス,swsh6h_ja,95,95,0,0,95
ソード・シールド,S6K,漆黒のガイスト,swsh6k_ja,95,95,0,0,95
ソード・シールド,S7D,摩天パーフェクト,swsh7d_ja,90,90,0,0,90
ソード・シールド,S8,フュージョンアーツ,swsh8_ja,129,129,0,0,129
ソード・シールド,S8b,VMAXクライマックス,swsh8b_ja,285,250,0,35,106
ソード・シールド,S9,スターバース,swsh9_ja,127,127,0,0,127
ソード・シールド,S9a,バトルリージョン,swsh9a_ja,93,93,0,0,89
SMシリーズ,SM10,ダブルブレイズ,sm10_ja,116,116,0,0,112
SMシリーズ,SM10a,ジージーエンド,sm10a_ja,69,69,0,0,65
SMシリーズ,SM10b,スカイレジェンド,sm10b_ja,69,69,0,0,65
SMシリーズ,SM11,ミラクルツイン,sm11_ja,115,115,0,0,111
SMシリーズ,SM11a,リミックスバウト,sm11a_ja,80,80,0,0,76
SMシリーズ,SM11b,ドリームリーグ,sm11b_ja,75,75,0,0,75
SMシリーズ,SM12,オルタージェネシス,sm12_ja,117,117,0,0,113
SMシリーズ,SM12a,TAG TEAM GX タッグオールスターズ,sm12a_ja,226,226,0,0,92
SMシリーズ,SM1M,コレクションムーン,sm1m_ja,73,73,0,0,73
SMシリーズ,SM1p,サン&ムーン,sm1p_ja,70,73,3,0,24
SMシリーズ,SM1S,コレクションサン,sm1s_ja,73,73,0,0,73
SMシリーズ,SM2K,キミを待つ島々,sm2k_ja,62,62,0,0,62
SMシリーズ,SM2L,アローラの月光,sm2l_ja,62,55,0,7,55
SMシリーズ,SM2p,新たなる試練の向こう,sm2p_ja,70,70,0,0,23
SMシリーズ,SM3H,闘う虹を見たか,sm3h_ja,64,64,0,0,64
SMシリーズ,SM3N,光を喰らう闇,sm3n_ja,64,64,0,0,64
SMシリーズ,SM3p,ひかる伝説,sm3p_ja,82,82,0,0,73
SMシリーズ,SM4A,超次元の暴獣,sm4a_ja,62,62,0,0,62
SMシリーズ,SM4p,GXバトルブースト,sm4p_ja,125,125,0,0,29
SMシリーズ,SM4S,覚醒の勇者,sm4s_ja,62,62,0,0,62
SMシリーズ,SM5M,ウルトラムーン,sm5m_ja,78,78,0,0,78
SMシリーズ,SM5p,ウルトラフォース,sm5p_ja,63,63,0,0,19
SMシリーズ,SM5S,ウルトラサン,sm5s_ja,78,78,0,0,78
