series_name,set_code,set_name,scrydex_id,db_card_rows,db_unique_numbers,scrydex_rows,scrydex_unique_numbers,missing_unique_numbers,missing_rows,db_numeric_max,status
ソード・シールド,S10a,ダークファンタズマ,swsh10a_ja,99,99,99,99,0,0,99,OK
ソード・シールド,S10P,スペースジャグラー,swsh10p_ja,88,88,88,88,0,0,88,OK
ソード・シールド,S11,ロストアビス,swsh11_ja,127,127,127,127,0,0,127,OK
ソード・シールド,S11a,白熱のアルカナ,swsh11a_ja,94,94,94,94,0,0,94,OK
ソード・シールド,S12,パラダイムトリガー,swsh12_ja,125,125,125,125,0,0,125,OK
ソード・シールド,S12a,VSTARユニバース,swsh12a_ja,258,258,250,250,0,0,262,OK
ソード・シールド,S5I,一撃マスター,swsh5i_ja,91,91,91,91,0,0,91,OK
ソード・シールド,S6H,白銀のランス,swsh6h_ja,95,95,95,95,0,0,95,OK
ソード・シールド,S6K,漆黒のガイスト,swsh6k_ja,95,95,95,95,0,0,95,OK
ソード・シールド,S7D,摩天パーフェクト,swsh7d_ja,90,90,90,90,0,0,90,OK
ソード・シールド,S8,フュージョンアーツ,swsh8_ja,129,129,129,129,0,0,129,OK
ソード・シールド,S8b,VMAXクライマックス,swsh8b_ja,285,285,250,250,0,0,285,OK
ソード・シールド,S9,スターバース,swsh9_ja,127,127,127,127,0,0,127,OK
ソード・シールド,S9a,バトルリージョン,swsh9a_ja,93,93,93,93,0,0,93,OK
SMシリーズ,SM10,ダブルブレイズ,sm10_ja,116,116,116,116,0,0,116,OK
SMシリーズ,SM10a,ジージーエンド,sm10a_ja,69,69,69,69,0,0,69,OK
SMシリーズ,SM10b,スカイレジェンド,sm10b_ja,69,69,69,69,0,0,69,OK
SMシリーズ,SM11,ミラクルツイン,sm11_ja,115,115,115,115,0,0,115,OK
SMシリーズ,SM11a,リミックスバウト,sm11a_ja,80,80,80,80,0,0,80,OK
SMシリーズ,SM11b,ドリームリーグ,sm11b_ja,75,75,75,75,0,0,75,OK
SMシリーズ,SM12,オルタージェネシス,sm12_ja,117,117,117,117,0,0,117,OK
SMシリーズ,SM12a,TAG TEAM GX タッグオールスターズ,sm12a_ja,226,226,226,226,0,0,226,OK
SMシリーズ,SM1M,コレクションムーン,sm1m_ja,73,73,73,73,0,0,73,OK
SMシリーズ,SM1p,サン＆ムーン,sm1p_ja,68,68,70,70,2,2,68,OK
SMシリーズ,SM1S,コレクションサン,sm1s_ja,73,73,73,73,0,0,73,OK
SMシリーズ,SM2K,キミを待つ島々,sm2k_ja,61,61,62,62,1,1,61,OK
SMシリーズ,SM2L,アローラの月光,sm2l_ja,62,62,55,55,0,0,62,OK
SMシリーズ,SM2p,新たなる試練の向こう,sm2p_ja,65,65,70,70,5,5,65,OK
SMシリーズ,SM3H,闘う虹を見たか,sm3h_ja,64,64,64,64,0,0,64,OK
SMシリーズ,SM3N,光を喰らう闇,sm3n_ja,64,64,64,64,0,0,64,OK
SMシリーズ,SM3p,ひかる伝説,sm3p_ja,82,82,82,82,0,0,82,OK
SMシリーズ,SM4A,超次元の暴獣,sm4a_ja,61,61,62,62,1,1,61,OK
SMシリーズ,SM4p,GXバトルブースト,sm4p_ja,125,125,125,125,0,0,125,OK
SMシリーズ,SM4S,覚醒の勇者,sm4s_ja,62,62,62,62,0,0,62,OK
SMシリーズ,SM5M,ウルトラムーン,sm5m_ja,78,78,78,78,0,0,78,OK
SMシリーズ,SM5p,ウルトラフォース,sm5p_ja,63,63,63,63,0,0,63,OK
SMシリーズ,SM5S,ウルトラサン,sm5s_ja,78,78,78,78,0,0,78,OK
SMシリーズ,SM6,禁断の光,sm6_ja,110,110,110,110,0,0,110,OK
SMシリーズ,SM6a,ドラゴンストーム,sm6a_ja,66,66,66,66,0,0,66,OK
SMシリーズ,SM6b,チャンピオンロード,sm6b_ja,86,86,86,86,0,0,86,OK
SVシリーズ,SV10,ロケット団の栄光,sv10_ja,132,132,132,132,0,0,132,OK
SVシリーズ,SV11B,ブラックボルト,sv11b_ja,174,174,174,174,0,0,174,OK
SVシリーズ,SV11W,ホワイトフレア,sv11w_ja,174,174,174,174,0,0,174,OK
SVシリーズ,SV1a,トリプレットビート,sv1a_ja,103,103,103,103,0,0,103,OK
SMシリーズ,SM7,裂空のカリスマ,sm7_ja,112,112,112,112,0,0,112,OK
SMシリーズ,SM7a,迅雷スパーク,sm7a_ja,73,73,73,73,0,0,73,OK
SMシリーズ,SM7b,フェアリーライズ,sm7b_ja,63,63,63,63,0,0,63,OK
SMシリーズ,SM8,超爆インパクト,sm8_ja,111,111,111,111,0,0,111,OK
SMシリーズ,SM8a,ダークオーダー,sm8a_ja,65,65,65,65,0,0,65,OK
SMシリーズ,SM8b,GXウルトラシャイニー,sm8b_ja,250,250,250,250,0,0,250,OK
SMシリーズ,SM9,タッグボルト,sm9_ja,118,118,118,118,0,0,118,OK
SMシリーズ,SM9a,ナイトユニゾン,sm9a_ja,70,70,70,70,0,0,70,OK
SMシリーズ,SM9b,フルメタルウォール,sm9b_ja,69,69,69,69,0,0,69,OK
SVシリーズ,SV1S,スカーレットex,sv1s_ja,108,108,108,108,0,0,108,OK
SVシリーズ,SV1V,バイオレットex,sv1v_ja,108,108,108,108,0,0,108,OK
SVシリーズ,SV2a,ポケモンカード151,sv2a_ja,210,210,210,210,0,0,210,OK
SVシリーズ,SV2D,クレイバースト,sv2d_ja,99,99,99,99,0,0,99,OK
SVシリーズ,SV2P,スノーハザード,sv2p_ja,99,99,99,99,0,0,99,OK
SVシリーズ,SV3,黒炎の支配者,sv3_ja,141,141,141,141,0,0,141,OK
SVシリーズ,SV3a,レイジングサーフ,sv3a_ja,92,92,92,92,0,0,92,OK
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,320,320,250,250,40,40,360,OK
SVシリーズ,SV4K,古代の咆哮,sv4k_ja,95,95,95,95,0,0,95,OK
SVシリーズ,SV4M,未来の一閃,sv4m_ja,95,95,95,95,0,0,95,OK
SVシリーズ,SV5a,クリムゾンヘイズ,sv5a_ja,96,96,96,96,0,0,96,OK
SVシリーズ,SV5M,サイバージャッジ,sv5m_ja,100,100,100,100,0,0,100,OK
SVシリーズ,SV6,変幻の仮面,sv6_ja,133,133,133,133,0,0,133,OK
SVシリーズ,SV6a,ナイトワンダラー,sv6a_ja,94,94,94,94,0,0,94,OK
SVシリーズ,SV7,ステラミラクル,sv7_ja,135,135,135,135,0,0,135,OK
SVシリーズ,SV7a,楽園ドラゴーナ,sv7a_ja,94,94,94,94,0,0,94,OK
SVシリーズ,SV8,超電ブレイカー,sv8_ja,138,138,138,138,0,0,138,OK
SVシリーズ,SV8a,テラスタルフェスex,sv8a_ja,237,237,237,237,0,0,237,OK
SVシリーズ,SV9,バトルパートナーズ,sv9_ja,132,132,132,132,0,0,132,OK
SVシリーズ,SV9a,熱風のアリーナ,sv9a_ja,92,92,92,92,0,0,92,OK
ソード・シールド,S4a,シャイニースターV,swsh4a_ja,326,326,250,250,0,0,326,OK
BWシリーズ,BW1-Bb,ポケモンカードゲームBW 拡張パック「ブラックコレクション」,bw1b_ja,53,53,56,56,3,3,53,OK
BWシリーズ,BW1-Bw,ポケモンカードゲームBW 拡張パック「ホワイトコレクション」,bw1w_ja,53,53,56,56,3,3,53,OK
BWシリーズ,BW10-B,ポケモンカードゲームBW コンセプトパック「EXバトルブースト」,ebb1_ja,93,93,99,99,6,6,93,OK
BWシリーズ,BW2-B,ポケモンカードゲームBW 拡張パック「レッドコレクション」,bw2_ja,66,66,72,72,6,6,66,OK
BWシリーズ,BW3-Bh,ポケモンカードゲームBW 拡張パック「ヘイルブリザード」,bw3h_ja,52,52,57,57,5,5,52,OK
BWシリーズ,BW3-Bp,ポケモンカードゲームBW 拡張パック「サイコドライブ」,bw3p_ja,52,52,57,57,5,5,52,OK
BWシリーズ,BW5-Brn,ポケモンカードゲームBW 拡張パック「リューノブレード」,bw5d_ja,50,50,55,55,5,5,50,OK
BWシリーズ,BW6-Bc,ポケモンカードゲームBW 拡張パック「コールドフレア」,bw6c_ja,59,59,65,65,6,6,59,OK
