scrydex_id,rows_found,status,url,error
bw1b_ja,56,OK,https://scrydex.com/pokemon/expansions/black-collection/bw1b_ja,
bw1w_ja,56,OK,https://scrydex.com/pokemon/expansions/white-collection/bw1w_ja,
bw2_ja,72,OK,https://scrydex.com/pokemon/expansions/red-collection/bw2_ja,
bw3h_ja,57,OK,https://scrydex.com/pokemon/expansions/hail-blizzard/bw3h_ja,
bw3p_ja,57,OK,https://scrydex.com/pokemon/expansions/psycho-drive/bw3p_ja,
bw4_ja,76,OK,https://scrydex.com/pokemon/expansions/dark-rush/bw4_ja,
bw5d_ja,55,OK,https://scrydex.com/pokemon/expansions/dragon-blade/bw5d_ja,
bw5s_ja,55,OK,https://scrydex.com/pokemon/expansions/dragon-blast/bw5s_ja,
bw6c_ja,65,OK,https://scrydex.com/pokemon/expansions/cold-flare/bw6c_ja,
bw6f_ja,65,OK,https://scrydex.com/pokemon/expansions/freeze-bolt/bw6f_ja,
bw7_ja,79,OK,https://scrydex.com/pokemon/expansions/plasma-gale/bw7_ja,
bw8s_ja,58,OK,https://scrydex.com/pokemon/expansions/spiral-force/bw8s_ja,
bw8t_ja,58,OK,https://scrydex.com/pokemon/expansions/thunder-knuckle/bw8t_ja,
bw9_ja,86,OK,https://scrydex.com/pokemon/expansions/megalo-cannon/bw9_ja,
cp1_ja,34,OK,https://scrydex.com/pokemon/expansions/magma-gang-vs-aqua-gang-double-crisis/cp1_ja,
cp2_ja,27,OK,https://scrydex.com/pokemon/expansions/legendary-shine-collection/cp2_ja,
cp3_ja,32,OK,https://scrydex.com/pokemon/expansions/pokkyun-collection/cp3_ja,
cp4_ja,140,OK,https://scrydex.com/pokemon/expansions/premium-champion-pack/cp4_ja,
cp5_ja,38,OK,https://scrydex.com/pokemon/expansions/mythical-legendary-dream-shine-collection/cp5_ja,
cp6_ja,103,OK,https://scrydex.com/pokemon/expansions/expansion-pack-20th-anniversary/cp6_ja,
ds1_ja,20,OK,https://scrydex.com/pokemon/expansions/dragon-selection/ds1_ja,
ebb1_ja,99,OK,https://scrydex.com/pokemon/expansions/ex-battle-boost/ebb1_ja,
sgg_ja,21,OK,https://scrydex.com/pokemon/expansions/gengar-vmax-high-class-deck/sgg_ja,
sm10_ja,116,OK,https://scrydex.com/pokemon/expansions/double-blaze/sm10_ja,
sm10a_ja,69,OK,https://scrydex.com/pokemon/expansions/gg-end/sm10a_ja,
sm10b_ja,69,OK,https://scrydex.com/pokemon/expansions/sky-legend/sm10b_ja,
sm11_ja,115,OK,https://scrydex.com/pokemon/expansions/miracle-twin/sm11_ja,
sm11a_ja,80,OK,https://scrydex.com/pokemon/expansions/remix-bout/sm11a_ja,
sm11b_ja,75,OK,https://scrydex.com/pokemon/expansions/dream-league/sm11b_ja,
sm12_ja,117,OK,https://scrydex.com/pokemon/expansions/alter-genesis/sm12_ja,
sm12a_ja,226,OK,https://scrydex.com/pokemon/expansions/tag-team-gx-tag-all-stars/sm12a_ja,
sm1m_ja,73,OK,https://scrydex.com/pokemon/expansions/collection-moon/sm1m_ja,
sm1p_ja,70,OK,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja,
sm1s_ja,73,OK,https://scrydex.com/pokemon/expansions/collection-sun/sm1s_ja,
sm2k_ja,62,OK,https://scrydex.com/pokemon/expansions/islands-await-you/sm2k_ja,
sm2l_ja,55,OK,https://scrydex.com/pokemon/expansions/alolan-moonlight/sm2l_ja,
sm2p_ja,70,OK,https://scrydex.com/pokemon/expansions/facing-a-new-trial/sm2p_ja,
sm3h_ja,64,OK,https://scrydex.com/pokemon/expansions/to-have-seen-the-battle-rainbow/sm3h_ja,
sm3n_ja,64,OK,https://scrydex.com/pokemon/expansions/darkness-that-consumes-light/sm3n_ja,
sm3p_ja,82,OK,https://scrydex.com/pokemon/expansions/shining-legends/sm3p_ja,
sm4a_ja,62,OK,https://scrydex.com/pokemon/expansions/ultradimensional-beasts/sm4a_ja,
sm4p_ja,125,OK,https://scrydex.com/pokemon/expansions/gx-battle-boost/sm4p_ja,
sm4s_ja,62,OK,https://scrydex.com/pokemon/expansions/awakened-heroes/sm4s_ja,
sm5m_ja,78,OK,https://scrydex.com/pokemon/expansions/ultra-moon/sm5m_ja,
sm5p_ja,63,OK,https://scrydex.com/pokemon/expansions/ultra-force/sm5p_ja,
sm5s_ja,78,OK,https://scrydex.com/pokemon/expansions/ultra-sun/sm5s_ja,
sm6_ja,110,OK,https://scrydex.com/pokemon/expansions/forbidden-light/sm6_ja,
sm6a_ja,66,OK,https://scrydex.com/pokemon/expansions/dragon-storm/sm6a_ja,
sm6b_ja,86,OK,https://scrydex.com/pokemon/expansions/champion-road/sm6b_ja,
sm7_ja,112,OK,https://scrydex.com/pokemon/expansions/sky-splitting-charisma/sm7_ja,
sm7a_ja,73,OK,https://scrydex.com/pokemon/expansions/thunderclap-spark/sm7a_ja,
sm7b_ja,63,OK,https://scrydex.com/pokemon/expansions/fairy-rise/sm7b_ja,
sm8_ja,111,OK,https://scrydex.com/pokemon/expansions/super-burst-impact/sm8_ja,
sm8a_ja,65,OK,https://scrydex.com/pokemon/expansions/dark-order/sm8a_ja,
sm8b_ja,250,OK,https://scrydex.com/pokemon/expansions/gx-ultra-shiny/sm8b_ja,
sm9_ja,118,OK,https://scrydex.com/pokemon/expansions/tag-bolt/sm9_ja,
sm9a_ja,70,OK,https://scrydex.com/pokemon/expansions/night-unison/sm9a_ja,
sm9b_ja,69,OK,https://scrydex.com/pokemon/expansions/full-metal-wall/sm9b_ja,
smm_ja,31,OK,https://scrydex.com/pokemon/expansions/tag-team-gx-starter-sets/smm_ja,
sv10_ja,132,OK,https://scrydex.com/pokemon/expansions/glory-of-team-rocket/sv10_ja,
sv11b_ja,174,OK,https://scrydex.com/pokemon/expansions/black-bolt/sv11b_ja,
sv11w_ja,174,OK,https://scrydex.com/pokemon/expansions/white-flare/sv11w_ja,
sv1a_ja,103,OK,https://scrydex.com/pokemon/expansions/triplet-beat/sv1a_ja,
sv1s_ja,108,OK,https://scrydex.com/pokemon/expansions/scarlet-ex/sv1s_ja,
sv1v_ja,108,OK,https://scrydex.com/pokemon/expansions/violet-ex/sv1v_ja,
sv2a_ja,210,OK,https://scrydex.com/pokemon/expansions/pokmon-card-151/sv2a_ja,
sv2d_ja,99,OK,https://scrydex.com/pokemon/expansions/clay-burst/sv2d_ja,
sv2p_ja,99,OK,https://scrydex.com/pokemon/expansions/snow-hazard/sv2p_ja,
sv3_ja,141,OK,https://scrydex.com/pokemon/expansions/ruler-of-the-black-flame/sv3_ja,
sv3a_ja,92,OK,https://scrydex.com/pokemon/expansions/raging-surf/sv3a_ja,
sv4a_ja,250,OK,https://scrydex.com/pokemon/expansions/shiny-treasure-ex/sv4a_ja,
sv4k_ja,95,OK,https://scrydex.com/pokemon/expansions/ancient-roar/sv4k_ja,
sv4m_ja,95,OK,https://scrydex.com/pokemon/expansions/future-flash/sv4m_ja,
sv5a_ja,96,OK,https://scrydex.com/pokemon/expansions/crimson-haze/sv5a_ja,
sv5k_ja,100,OK,https://scrydex.com/pokemon/expansions/wild-force/sv5k_ja,
sv5m_ja,100,OK,https://scrydex.com/pokemon/expansions/cyber-judge/sv5m_ja,
sv6_ja,133,OK,https://scrydex.com/pokemon/expansions/mask-of-change/sv6_ja,
sv6a_ja,94,OK,https://scrydex.com/pokemon/expansions/night-wanderer/sv6a_ja,
sv7_ja,135,OK,https://scrydex.com/pokemon/expansions/stellar-miracle/sv7_ja,
sv7a_ja,94,OK,https://scrydex.com/pokemon/expansions/paradise-dragona/sv7a_ja,
sv8_ja,138,OK,https://scrydex.com/pokemon/expansions/super-electric-breaker/sv8_ja,
sv8a_ja,237,OK,https://scrydex.com/pokemon/expansions/terastal-festival-ex/sv8a_ja,
sv9_ja,132,OK,https://scrydex.com/pokemon/expansions/battle-partners/sv9_ja,
sv9a_ja,92,OK,https://scrydex.com/pokemon/expansions/hot-air-arena/sv9a_ja,
svod_ja,19,OK,https://scrydex.com/pokemon/expansions/stevens-beldum-metagross-ex-starter-set-ex/svod_ja,
svom_ja,20,OK,https://scrydex.com/pokemon/expansions/marnies-morpeko-grimmsnarl-ex-starter-set-ex/svom_ja,
swsh10a_ja,99,OK,https://scrydex.com/pokemon/expansions/dark-phantasma/swsh10a_ja,
swsh10b_ja,101,OK,https://scrydex.com/pokemon/expansions/pokmon-go/swsh10b_ja,
swsh10d_ja,88,OK,https://scrydex.com/pokemon/expansions/time-gazer/swsh10d_ja,
swsh10p_ja,88,OK,https://scrydex.com/pokemon/expansions/space-juggler/swsh10p_ja,
swsh11_ja,127,OK,https://scrydex.com/pokemon/expansions/lost-abyss/swsh11_ja,
swsh11a_ja,94,OK,https://scrydex.com/pokemon/expansions/incandescent-arcana/swsh11a_ja,
swsh12_ja,125,OK,https://scrydex.com/pokemon/expansions/paradigm-trigger/swsh12_ja,
swsh12a_ja,250,OK,https://scrydex.com/pokemon/expansions/vstar-universe/swsh12a_ja,
swsh1a_ja,86,OK,https://scrydex.com/pokemon/expansions/vmax-rising/swsh1a_ja,
swsh1h_ja,75,OK,https://scrydex.com/pokemon/expansions/shield/swsh1h_ja,
swsh1w_ja,75,OK,https://scrydex.com/pokemon/expansions/sword/swsh1w_ja,
swsh2_ja,115,OK,https://scrydex.com/pokemon/expansions/rebellion-crash/swsh2_ja,
swsh2a_ja,86,OK,https://scrydex.com/pokemon/expansions/explosive-walker/swsh2a_ja,
swsh3_ja,119,OK,https://scrydex.com/pokemon/expansions/infinity-zone/swsh3_ja,
swsh3a_ja,94,OK,https://scrydex.com/pokemon/expansions/legendary-heartbeat/swsh3a_ja,
swsh4_ja,121,OK,https://scrydex.com/pokemon/expansions/amazing-volt-tackle/swsh4_ja,
swsh4a_ja,250,OK,https://scrydex.com/pokemon/expansions/shiny-star-v/swsh4a_ja,
swsh5a_ja,96,OK,https://scrydex.com/pokemon/expansions/peerless-fighters/swsh5a_ja,
swsh5i_ja,91,OK,https://scrydex.com/pokemon/expansions/single-strike-master/swsh5i_ja,
swsh5r_ja,91,OK,https://scrydex.com/pokemon/expansions/rapid-strike-master/swsh5r_ja,
swsh6a_ja,101,OK,https://scrydex.com/pokemon/expansions/eevee-heroes/swsh6a_ja,
swsh6h_ja,95,OK,https://scrydex.com/pokemon/expansions/silver-lance/swsh6h_ja,
swsh6k_ja,95,OK,https://scrydex.com/pokemon/expansions/jet-black-spirit/swsh6k_ja,
swsh7d_ja,90,OK,https://scrydex.com/pokemon/expansions/skyscraping-perfection/swsh7d_ja,
swsh7r_ja,90,OK,https://scrydex.com/pokemon/expansions/blue-sky-stream/swsh7r_ja,
swsh8_ja,129,OK,https://scrydex.com/pokemon/expansions/fusion-arts/swsh8_ja,
swsh8a_ja,38,OK,https://scrydex.com/pokemon/expansions/25th-anniversary-collection/swsh8a_ja,
swsh8b_ja,250,OK,https://scrydex.com/pokemon/expansions/vmax-climax/swsh8b_ja,
swsh9_ja,127,OK,https://scrydex.com/pokemon/expansions/star-birth/swsh9_ja,
swsh9a_ja,93,OK,https://scrydex.com/pokemon/expansions/battle-region/swsh9a_ja,
wcs23_ja,30,OK,https://scrydex.com/pokemon/expansions/world-championships-2023-yokohama-deck-pikachu/wcs23_ja,
xy10_ja,88,OK,https://scrydex.com/pokemon/expansions/awakening-psychic-king/xy10_ja,
xy1x_ja,63,OK,https://scrydex.com/pokemon/expansions/collection-x/xy1x_ja,
xy1y_ja,63,OK,https://scrydex.com/pokemon/expansions/collection-y/xy1y_ja,
xy2_ja,90,OK,https://scrydex.com/pokemon/expansions/wild-blaze/xy2_ja,
xy3_ja,105,OK,https://scrydex.com/pokemon/expansions/rising-fist/xy3_ja,
xy4_ja,97,OK,https://scrydex.com/pokemon/expansions/phantom-gate/xy4_ja,
xy5g_ja,80,OK,https://scrydex.com/pokemon/expansions/gaia-volcano/xy5g_ja,
xy5t_ja,80,OK,https://scrydex.com/pokemon/expansions/tidal-storm/xy5t_ja,
xy6_ja,91,OK,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,
xy7_ja,97,OK,https://scrydex.com/pokemon/expansions/bandit-ring/xy7_ja,
xy8b_ja,65,OK,https://scrydex.com/pokemon/expansions/blue-shock/xy8b_ja,
xy8r_ja,65,OK,https://scrydex.com/pokemon/expansions/red-flash/xy8r_ja,
xy9_ja,89,OK,https://scrydex.com/pokemon/expansions/rage-of-the-broken-heavens/xy9_ja,
xy_ja,188,OK,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,
