set_code,number_key,scrydex_name,jp_name,status,method,final_url,error
SM1p,70,Fire Energy,エネルギー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/fire-energy/sm1p_ja-70,
BW10-B,96,Imakuni?,トレーナー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/imakuni/ebb1_ja-96,
BW10-B,97,Pokémon Enterprise,トレーナー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/pokemon-enterprise/ebb1_ja-97,
BW10-B,98,Pokémon Enterprise,トレーナー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/pokemon-enterprise/ebb1_ja-98,
BW10-B,99,Pokémon Enterprise,トレーナー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/pokemon-enterprise/ebb1_ja-99,
BW6-Bc,63,Bianca,トレーナー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/bianca/bw6c_ja-63,
BW7-B,79,Random Receiver,トレーナー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/random-receiver/bw7_ja-79,
S10b,94,Grass Energy,エネルギー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/grass-energy/swsh10b_ja-94,
S10b,95,Fire Energy,エネルギー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/fire-energy/swsh10b_ja-95,
S8a,31,Grass Energy,エネルギー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/grass-energy/swsh8a_ja-31,
S8a,32,Fire Energy,エネルギー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/fire-energy/swsh8a_ja-32,
CP4,132,Grass Energy,エネルギー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/grass-energy/cp4_ja-132,
CP4,133,Fire Energy,エネルギー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/fire-energy/cp4_ja-133,
CP4,139,Colorless Energy,エネルギー,RESOLVED,VISIBLE_DATA_DETAILS,https://scrydex.com/pokemon/cards/colorless-energy/cp4_ja-139,
