series_name,set_id,set_code,set_name,scrydex_id,scrydex_url,scrydex_number_raw,number_key,scrydex_name,scrydex_rarity,scrydex_rarity_raw,scrydex_card_url,expected_image_url,db_numeric_max,beyond_db_max,jp_name,name_resolution_method,name_confidence,unresolved_reason,template_method,template_card_id,template_category,template_hp,template_types,template_stage,template_regulation_mark
SMシリーズ,575b3ae4-5c0c-4abc-93f8-f1f4cc71974a,SM1p,サン＆ムーン,sm1p_ja,https://scrydex.com/pokemon/expansions/strength-expansion-pack-sun-moon/sm1p_ja,70,70,Fire Energy,,—,,https://images.scrydex.com/pokemon/sm1p_ja-70/large,68,YES,エネルギー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
BWシリーズ,eb0a6865-84ff-4f85-b031-54c9d4e4c14d,BW10-B,ポケモンカードゲームBW コンセプトパック「EXバトルブースト」,ebb1_ja,https://scrydex.com/pokemon/expansions/ex-battle-boost/ebb1_ja,96,96,Imakuni?,,—,,https://images.scrydex.com/pokemon/ebb1_ja-96/large,93,YES,トレーナー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
BWシリーズ,eb0a6865-84ff-4f85-b031-54c9d4e4c14d,BW10-B,ポケモンカードゲームBW コンセプトパック「EXバトルブースト」,ebb1_ja,https://scrydex.com/pokemon/expansions/ex-battle-boost/ebb1_ja,97,97,Pokémon Enterprise,,—,,https://images.scrydex.com/pokemon/ebb1_ja-97/large,93,YES,トレーナー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
BWシリーズ,eb0a6865-84ff-4f85-b031-54c9d4e4c14d,BW10-B,ポケモンカードゲームBW コンセプトパック「EXバトルブースト」,ebb1_ja,https://scrydex.com/pokemon/expansions/ex-battle-boost/ebb1_ja,98,98,Pokémon Enterprise,,—,,https://images.scrydex.com/pokemon/ebb1_ja-98/large,93,YES,トレーナー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
BWシリーズ,eb0a6865-84ff-4f85-b031-54c9d4e4c14d,BW10-B,ポケモンカードゲームBW コンセプトパック「EXバトルブースト」,ebb1_ja,https://scrydex.com/pokemon/expansions/ex-battle-boost/ebb1_ja,99,99,Pokémon Enterprise,,—,,https://images.scrydex.com/pokemon/ebb1_ja-99/large,93,YES,トレーナー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
BWシリーズ,55fb9c24-1735-4a8c-b090-eebabf950f94,BW6-Bc,ポケモンカードゲームBW 拡張パック「コールドフレア」,bw6c_ja,https://scrydex.com/pokemon/expansions/cold-flare/bw6c_ja,63,63,Bianca,SR,SR,,https://images.scrydex.com/pokemon/bw6c_ja-63/large,59,YES,トレーナー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
BWシリーズ,d80a5f18-cad8-457f-90e6-3fbfd527f8c2,BW7-B,ポケモンカードゲームBW 拡張パック「プラズマゲイル」,bw7_ja,https://scrydex.com/pokemon/expansions/plasma-gale/bw7_ja,79,79,Random Receiver,UR,UR,,https://images.scrydex.com/pokemon/bw7_ja-79/large,70,YES,トレーナー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
ソード・シールド,519974df-352f-47fe-a03f-04e3e551a5da,S10b,強化拡張パック「Pokémon GO」,swsh10b_ja,https://scrydex.com/pokemon/expansions/pokmon-go/swsh10b_ja,94,94,Grass Energy,,—,,https://images.scrydex.com/pokemon/swsh10b_ja-94/large,93,YES,エネルギー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
ソード・シールド,519974df-352f-47fe-a03f-04e3e551a5da,S10b,強化拡張パック「Pokémon GO」,swsh10b_ja,https://scrydex.com/pokemon/expansions/pokmon-go/swsh10b_ja,95,95,Fire Energy,,—,,https://images.scrydex.com/pokemon/swsh10b_ja-95/large,93,YES,エネルギー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
ソード・シールド,798983eb-5b45-49ab-b90a-339a8fd22b4a,S8a,拡張パック「25th ANNIVERSARY COLLECTION」,swsh8a_ja,https://scrydex.com/pokemon/expansions/25th-anniversary-collection/swsh8a_ja,31,31,Grass Energy,,—,,https://images.scrydex.com/pokemon/swsh8a_ja-31/large,29,YES,エネルギー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
ソード・シールド,798983eb-5b45-49ab-b90a-339a8fd22b4a,S8a,拡張パック「25th ANNIVERSARY COLLECTION」,swsh8a_ja,https://scrydex.com/pokemon/expansions/25th-anniversary-collection/swsh8a_ja,32,32,Fire Energy,,—,,https://images.scrydex.com/pokemon/swsh8a_ja-32/large,29,YES,エネルギー,SCRYDEX_DETAIL_VISIBLE_DATA_DETAILS,HIGH,,,,,,,,
