english_name,japanese_names,jp_candidate_count,example_set_id,example_number
Abomasnow,ユキノオー,1,54450e62-c2ee-4136-b175-6191e3a2acfc,10
Abra,ケーシィ,1,bb411b0c-7378-4681-8d40-30958187c747,63
Absol,アブソル,1,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,83
Absol ex,アブソルex,1,eb9a2ae1-f752-48e2-bd6e-4a3103023949,73
Accelgor,アギルダー,1,a945665e-c81a-4c03-924d-624a07458341,8
Accompanying Flute,おはやし笛,1,aaae146c-17af-45fb-b9fb-165ca527fc03,91
Acerola,アセロラ,1,25678826-2811-4bff-9b3a-26e10c5db48c,47
Acerola's Premonition,アセロラの予感,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,148
Acro Bike,ダートじてんしゃ,1,67f367c1-a48d-4f82-8b03-0cea6da851bb,61
Adaman,セキ,1,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,155
Adventure Bag,ぼうけんのカバン,1,4a261245-088f-4357-a2ff-6c7890e11543,93
Adventurer's Discovery,冒険家の発見,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,157
Aegislash,ギルガルド,1,8cce95a2-f537-4156-907d-f331ce13b5d6,53
Aegislash ex,ギルガルドex,1,1d6a22e1-15be-46ec-bfa4-71adffe1213e,45
Aegislash V,ギルガルドV,1,55532dfc-3744-4734-b6b3-db9157b43812,80
Aegislash VMAX,ギルガルドVMAX,1,55532dfc-3744-4734-b6b3-db9157b43812,81
Aegislash-EX,ギルガルドEX,1,a0688785-c0ff-43fa-84fa-48d14432b701,87
Aerodactyl,プテラ,1,8c3e90a2-295a-49ec-a166-fec75fe3fd8e,76
Aerodactyl V,プテラV,1,ca93c4b2-7d37-4881-9306-c30f64a19b88,56
Aerodactyl VSTAR,プテラVSTAR,1,ca93c4b2-7d37-4881-9306-c30f64a19b88,57
Aerodactyl-GX,プテラGX,1,14496d8f-d11f-4779-bc03-b5a0e25a8a4b,45
Aether Foundation Employee,エーテル財団職員,1,312d4099-d563-4221-b523-a8ab2cf9c24e,151
Aether Paradise Conservation Area,エーテルパラダイス保護区,1,234779b1-7c9a-442f-8f8e-de41d5de658c,50
Agatha,キクコ,1,c56a482d-7434-4e00-bc54-16c38f187c4e,65
Aggron,ボスゴドラ,1,248d92ee-d69e-493d-9d4b-0960134db32f,67
Aggron Spirit Link,ボスゴドラソウルリンク,1,e249c6c7-6f19-4de0-b421-1d7bce8e588d,65
Aggron-EX,ボスゴドラEX,1,e249c6c7-6f19-4de0-b421-1d7bce8e588d,45
Aipom,エイパム,1,54450e62-c2ee-4136-b175-6191e3a2acfc,59
Air Balloon,ふうせん,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,145
Alakazam,フーディン,1,aaae146c-17af-45fb-b9fb-165ca527fc03,49
Alakazam ex,フーディンex,1,bb411b0c-7378-4681-8d40-30958187c747,65
Alakazam Spirit Link,フーディンソウルリンク,1,738567d0-701f-448b-bba6-70a6b90dbcc4,75
Alakazam V,フーディンV,1,55532dfc-3744-4734-b6b3-db9157b43812,41
Alakazam-EX,フーディンEX,1,738567d0-701f-448b-bba6-70a6b90dbcc4,23
Alcremie,マホイップ,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,81
Alcremie V,マホイップV,1,5ef17897-aa4b-47b6-ba3f-437267d27a85,31
Alcremie VMAX,マホイップVMAX,1,5ef17897-aa4b-47b6-ba3f-437267d27a85,32
Allister,オニオン,1,5ef17897-aa4b-47b6-ba3f-437267d27a85,71
Alolan Diglett,アローラ ディグダ | アローラディグダ,2,30503cd2-8ced-45f5-9b2f-acd3ee55c09a,84
Alolan Dugtrio,アローラ ダグトリオ | アローラダグトリオ,2,30503cd2-8ced-45f5-9b2f-acd3ee55c09a,85
Alolan Exeggutor,アローラナッシー,1,02774e64-31dd-4b6c-a9b3-65c24144066e,78
Alolan Exeggutor ex,アローラ ナッシーex,1,154b30d7-3fc1-4322-af22-f39b9c881d45,40
Alolan Exeggutor V,アローラ ナッシーV,1,519974df-352f-47fe-a03f-04e3e551a5da,5
Alolan Exeggutor-GX,アローラナッシーGX,1,9f635209-aec1-4acf-84b7-8e77e6be7bc0,37
