set_code,card_number,url,error
MA,1,https://scrydex.com/pokemon/cards/shaymin/ma_ja-1,rarity parse failed
MA,2,https://scrydex.com/pokemon/cards/mew-ex/ma_ja-2,rarity parse failed
MA,3,https://scrydex.com/pokemon/cards/fezandipiti-ex/ma_ja-3,rarity parse failed
MA,4,https://scrydex.com/pokemon/cards/tatsugiri/ma_ja-4,rarity parse failed
MA,5,https://scrydex.com/pokemon/cards/pidgey/ma_ja-5,rarity parse failed
MA,6,https://scrydex.com/pokemon/cards/pidgeotto/ma_ja-6,rarity parse failed
MA,7,https://scrydex.com/pokemon/cards/pidgeot-ex/ma_ja-7,rarity parse failed
MA,8,https://scrydex.com/pokemon/cards/hoothoot/ma_ja-8,rarity parse failed
MA,9,https://scrydex.com/pokemon/cards/noctowl/ma_ja-9,rarity parse failed
MA,10,https://scrydex.com/pokemon/cards/squawkabilly-ex/ma_ja-10,rarity parse failed
MA,11,https://scrydex.com/pokemon/cards/unfair-stamp/ma_ja-11,rarity parse failed
MA,12,https://scrydex.com/pokemon/cards/energy-switch/ma_ja-12,rarity parse failed
MA,13,https://scrydex.com/pokemon/cards/electric-generator/ma_ja-13,rarity parse failed
MA,14,https://scrydex.com/pokemon/cards/counter-catcher/ma_ja-14,rarity parse failed
MA,15,https://scrydex.com/pokemon/cards/super-rod/ma_ja-15,rarity parse failed
MA,16,https://scrydex.com/pokemon/cards/earthen-vessel/ma_ja-16,rarity parse failed
MA,17,https://scrydex.com/pokemon/cards/tool-scrapper/ma_ja-17,rarity parse failed
MA,18,https://scrydex.com/pokemon/cards/buddy-buddy-poffin/ma_ja-18,rarity parse failed
MA,19,https://scrydex.com/pokemon/cards/nest-ball/ma_ja-19,rarity parse failed
MA,20,https://scrydex.com/pokemon/cards/ultra-ball/ma_ja-20,rarity parse failed
MA,21,https://scrydex.com/pokemon/cards/rare-candy/ma_ja-21,rarity parse failed
MA,22,https://scrydex.com/pokemon/cards/prime-catcher/ma_ja-22,rarity parse failed
MA,23,https://scrydex.com/pokemon/cards/switch/ma_ja-23,rarity parse failed
MA,24,https://scrydex.com/pokemon/cards/bug-catching-set/ma_ja-24,rarity parse failed
MA,25,https://scrydex.com/pokemon/cards/mega-signal/ma_ja-25,rarity parse failed
MA,26,https://scrydex.com/pokemon/cards/night-stretcher/ma_ja-26,rarity parse failed
MA,27,https://scrydex.com/pokemon/cards/counter-gain/ma_ja-27,rarity parse failed
MA,28,https://scrydex.com/pokemon/cards/rigid-band/ma_ja-28,rarity parse failed
MA,29,https://scrydex.com/pokemon/cards/heros-cape/ma_ja-29,rarity parse failed
MA,30,https://scrydex.com/pokemon/cards/air-balloon/ma_ja-30,rarity parse failed
MA,31,https://scrydex.com/pokemon/cards/maximum-belt/ma_ja-31,rarity parse failed
MA,32,https://scrydex.com/pokemon/cards/bravery-charm/ma_ja-32,rarity parse failed
MA,33,https://scrydex.com/pokemon/cards/technical-machine-evolution/ma_ja-33,rarity parse failed
MA,34,https://scrydex.com/pokemon/cards/technical-machine-devolution/ma_ja-34,rarity parse failed
MA,35,https://scrydex.com/pokemon/cards/kieran/ma_ja-35,rarity parse failed
MA,36,https://scrydex.com/pokemon/cards/iono/ma_ja-36,rarity parse failed
MA,37,https://scrydex.com/pokemon/cards/professors-research/ma_ja-37,rarity parse failed
MA,38,https://scrydex.com/pokemon/cards/arven/ma_ja-38,rarity parse failed
MA,39,https://scrydex.com/pokemon/cards/bosss-orders/ma_ja-39,rarity parse failed
MA,40,https://scrydex.com/pokemon/cards/wallys-compassion/ma_ja-40,rarity parse failed
