card_id,set_code,card_number,card_name,current_rarity,scrydex_rarity,status
8953ec82-5a40-4b5c-888f-aa3ae6a57996,M2a,163,でんきだま,ー,,SCRYDEX_BLANK
b9357ee1-6ca5-41c7-b5ae-01e7aed81dd9,M2a,164,ぶあついうろこ,ー,,SCRYDEX_BLANK
08241160-a81a-4a72-bd63-1a98a8d897fc,M2a,165,ふうせん,ー,,SCRYDEX_BLANK
24c80808-e234-4945-af9e-d78e08d565f4,M2a,166,ブレイブバングル,ー,,SCRYDEX_BLANK
fcb07f70-92dc-461c-9572-f0bdc0d532d8,M2a,168,アイリスの闘志,ー,,SCRYDEX_BLANK
1d04366b-0191-4694-8b53-236184772da8,M2a,170,カナリィ,ー,,SCRYDEX_BLANK
d052f4b1-f015-4be0-8dec-3966277bfce3,M2a,173,バーベナとヘレナ,ー,,SCRYDEX_BLANK
6903659d-c737-4b79-a200-cc647d9b25f8,M2a,174,ヒビキの冒険,ー,,SCRYDEX_BLANK
67dcdbbf-4194-49b2-904a-5c3b128ddf5f,M2a,175,リーリエの決心,ー,,SCRYDEX_BLANK
7fc90511-a5d0-4899-afce-13ac0673cbda,M2a,177,ロケット団のアポロ,ー,,SCRYDEX_BLANK
2c8fa2d4-cb41-44cb-9eec-868bb096b268,M2a,178,ロケット団のサカキ,ー,,SCRYDEX_BLANK
9a1e24c5-2c87-44d8-9351-a4c276d922ba,M2a,179,ロケット団のラムダ,ー,,SCRYDEX_BLANK
2dad3138-d459-4b24-9b7e-dc7c46af8977,M2a,180,ロケット団のランス,ー,,SCRYDEX_BLANK
d97093d9-0e2f-424c-ae55-9f90dfdb0732,M2a,181,Nの城,ー,,SCRYDEX_BLANK
a1502cd7-3a79-49cf-bffb-767b1cbb4a22,M2a,004,ケムッソ,ー,,SCRYDEX_BLANK
a620f799-1437-4884-9ac9-3ba8b00c4ed5,M2a,182,活力の森,ー,,SCRYDEX_BLANK
7918412d-1bd2-4c42-90db-704d63d8b868,MC,679,カウンターゲイン,ー,,NOT_FOUND
eba7d7a9-0fca-4e1a-a57c-bac6b97e5689,MC,680,きらめく結晶,ー,,NOT_FOUND
56c9662f-efe3-48d2-aef4-15bb1ec9e453,MC,681,くさりもち,ー,,NOT_FOUND
4fdd562d-755c-4347-9011-081a30122e91,MC,684,デラックスボム,ー,,NOT_FOUND
2da5c0ac-795d-439c-b1dc-283c505f4290,MC,685,ナモのみ,ー,,NOT_FOUND
