set_code,set_name,scrydex_id,card_number,scrydex_name,scrydex_rarity,scrydex_image_url,scrydex_card_url,scrydex_set_url
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,1,Oddish,,https://images.scrydex.com/pokemon/xy_ja-1/medium,https://scrydex.com/pokemon/cards/oddish/xy_ja-1?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,2,Gloom,,https://images.scrydex.com/pokemon/xy_ja-2/medium,https://scrydex.com/pokemon/cards/gloom/xy_ja-2?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,3,Vileplume,,https://images.scrydex.com/pokemon/xy_ja-3/medium,https://scrydex.com/pokemon/cards/vileplume/xy_ja-3?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,4,Spinarak,,https://images.scrydex.com/pokemon/xy_ja-4/medium,https://scrydex.com/pokemon/cards/spinarak/xy_ja-4?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,5,Ariados,,https://images.scrydex.com/pokemon/xy_ja-5/medium,https://scrydex.com/pokemon/cards/ariados/xy_ja-5?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,6,Sceptile-EX,,https://images.scrydex.com/pokemon/xy_ja-6/medium,https://scrydex.com/pokemon/cards/sceptile-ex/xy_ja-6?variant=holofoil,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,7,M Sceptile-EX,,https://images.scrydex.com/pokemon/xy_ja-7/medium,https://scrydex.com/pokemon/cards/m-sceptile-ex/xy_ja-7?variant=holofoil,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,8,Combee,,https://images.scrydex.com/pokemon/xy_ja-8/medium,https://scrydex.com/pokemon/cards/combee/xy_ja-8?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,9,Vespiquen,,https://images.scrydex.com/pokemon/xy_ja-9/medium,https://scrydex.com/pokemon/cards/vespiquen/xy_ja-9?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,10,Flareon,,https://images.scrydex.com/pokemon/xy_ja-10/medium,https://scrydex.com/pokemon/cards/flareon/xy_ja-10?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,11,Entei,,https://images.scrydex.com/pokemon/xy_ja-11/medium,https://scrydex.com/pokemon/cards/entei/xy_ja-11?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,13,M Camerupt-EX,,https://images.scrydex.com/pokemon/xy_ja-13/medium,https://scrydex.com/pokemon/cards/m-camerupt-ex/xy_ja-13?variant=holofoil,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,14,Volcanion,,https://images.scrydex.com/pokemon/xy_ja-14/medium,https://scrydex.com/pokemon/cards/volcanion/xy_ja-14?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,15,Volcanion-EX,,https://images.scrydex.com/pokemon/xy_ja-15/medium,https://scrydex.com/pokemon/cards/volcanion-ex/xy_ja-15?variant=holofoil,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,16,Vaporeon,,https://images.scrydex.com/pokemon/xy_ja-16/medium,https://scrydex.com/pokemon/cards/vaporeon/xy_ja-16?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja
