series_name,set_code,scrydex_id,db_cards,matched,unresolved,expansion_numbers_found
ソード・シールド,S10a,swsh10a_ja,99,99,0,99
ソード・シールド,S10P,swsh10p_ja,88,88,0,88
ソード・シールド,S11,swsh11_ja,127,127,0,127
ソード・シールド,S11a,swsh11a_ja,94,94,0,94
ソード・シールド,S12,swsh12_ja,125,125,0,125
ソード・シールド,S12a,swsh12a_ja,258,250,8,250
ソード・シールド,S5I,swsh5i_ja,91,91,0,91
ソード・シールド,S6H,swsh6h_ja,95,95,0,95
ソード・シールド,S6K,swsh6k_ja,95,95,0,95
ソード・シールド,S7D,swsh7d_ja,90,90,0,90
ソード・シールド,S8,swsh8_ja,129,129,0,129
ソード・シールド,S8b,swsh8b_ja,285,250,35,250
ソード・シールド,S9,swsh9_ja,127,127,0,127
ソード・シールド,S9a,swsh9a_ja,93,93,0,93
SMシリーズ,SM10,sm10_ja,116,116,0,116
SMシリーズ,SM10a,sm10a_ja,69,69,0,69
SMシリーズ,SM10b,sm10b_ja,69,69,0,69
SMシリーズ,SM11,sm11_ja,115,115,0,115
SMシリーズ,SM11a,sm11a_ja,80,80,0,80
SMシリーズ,SM11b,sm11b_ja,75,75,0,75
SMシリーズ,SM12,sm12_ja,117,117,0,117
SMシリーズ,SM12a,sm12a_ja,226,226,0,226
SMシリーズ,SM1M,sm1m_ja,73,73,0,73
SMシリーズ,SM1p,sm1p_ja,68,68,0,73
SMシリーズ,SM1S,sm1s_ja,73,73,0,73
SMシリーズ,SM2K,sm2k_ja,61,61,0,62
SMシリーズ,SM2L,sm2l_ja,62,55,7,55
SMシリーズ,SM2p,sm2p_ja,65,65,0,70
SMシリーズ,SM3H,sm3h_ja,64,64,0,64
SMシリーズ,SM3N,sm3n_ja,64,64,0,64
SMシリーズ,SM3p,sm3p_ja,82,82,0,82
SMシリーズ,SM4A,sm4a_ja,61,61,0,62
SMシリーズ,SM4p,sm4p_ja,125,125,0,125
SMシリーズ,SM4S,sm4s_ja,62,62,0,62
SMシリーズ,SM5M,sm5m_ja,78,78,0,78
SMシリーズ,SM5p,sm5p_ja,63,63,0,63
SMシリーズ,SM5S,sm5s_ja,78,78,0,78
SMシリーズ,SM6,sm6_ja,110,110,0,110
SMシリーズ,SM6a,sm6a_ja,66,66,0,66
SMシリーズ,SM6b,sm6b_ja,86,86,0,86
SVシリーズ,SV10,sv10_ja,132,132,0,132
SVシリーズ,SV11B,sv11b_ja,174,174,0,174
SVシリーズ,SV11W,sv11w_ja,174,174,0,174
SVシリーズ,SV1a,sv1a_ja,103,103,0,103
SMシリーズ,SM7,sm7_ja,112,112,0,112
SMシリーズ,SM7a,sm7a_ja,73,73,0,73
SMシリーズ,SM7b,sm7b_ja,63,63,0,63
SMシリーズ,SM8,sm8_ja,111,111,0,111
SMシリーズ,SM8a,sm8a_ja,65,65,0,65
SMシリーズ,SM8b,sm8b_ja,250,250,0,250
SMシリーズ,SM9,sm9_ja,118,118,0,118
SMシリーズ,SM9a,sm9a_ja,70,70,0,70
SMシリーズ,SM9b,sm9b_ja,69,69,0,69
SVシリーズ,SV1S,sv1s_ja,108,108,0,108
SVシリーズ,SV1V,sv1v_ja,108,108,0,108
SVシリーズ,SV2a,sv2a_ja,210,210,0,210
SVシリーズ,SV2D,sv2d_ja,99,99,0,99
SVシリーズ,SV2P,sv2p_ja,99,99,0,99
SVシリーズ,SV3,sv3_ja,141,141,0,141
SVシリーズ,SV3a,sv3a_ja,92,92,0,92
SVシリーズ,SV4a,sv4a_ja,320,210,110,250
SVシリーズ,SV4K,sv4k_ja,95,95,0,95
SVシリーズ,SV4M,sv4m_ja,95,95,0,95
SVシリーズ,SV5a,sv5a_ja,96,96,0,96
SVシリーズ,SV5M,sv5m_ja,100,100,0,100
SVシリーズ,SV6,sv6_ja,133,133,0,133
SVシリーズ,SV6a,sv6a_ja,94,94,0,94
SVシリーズ,SV7,sv7_ja,135,135,0,135
SVシリーズ,SV7a,sv7a_ja,94,94,0,94
SVシリーズ,SV8,sv8_ja,138,138,0,138
SVシリーズ,SV8a,sv8a_ja,237,237,0,237
SVシリーズ,SV9,sv9_ja,132,132,0,132
SVシリーズ,SV9a,sv9a_ja,92,92,0,92
ソード・シールド,S4a,swsh4a_ja,326,250,76,250
BWシリーズ,BW1-Bb,bw1b_ja,53,53,0,56
BWシリーズ,BW1-Bw,bw1w_ja,53,53,0,56
BWシリーズ,BW10-B,ebb1_ja,93,93,0,99
BWシリーズ,BW2-B,bw2_ja,66,66,0,72
BWシリーズ,BW3-Bh,bw3h_ja,52,52,0,57
BWシリーズ,BW3-Bp,bw3p_ja,52,52,0,57
BWシリーズ,BW5-Brn,bw5d_ja,50,50,0,55
BWシリーズ,BW6-Bc,bw6c_ja,59,59,0,65
BWシリーズ,BW7-B,bw7_ja,70,70,0,79
BWシリーズ,BW8-Brn,bw8t_ja,51,51,0,58
ソード・シールド,S10b,swsh10b_ja,93,93,0,101
ソード・シールド,S1W,swsh1w_ja,68,68,0,75
ソード・シールド,S2,swsh2_ja,106,106,0,115
ソード・シールド,S3,swsh3_ja,110,110,0,119
ソード・シールド,S4,swsh4_ja,111,111,0,121
ソード・シールド,S5a,swsh5a_ja,84,84,0,96
ソード・シールド,S7R,swsh7r_ja,79,79,0,90
BWシリーズ,BW4-B,bw4_ja,69,69,0,76
BWシリーズ,BW5-Brz,bw5s_ja,50,50,0,55
BWシリーズ,BW6-Bf,bw6f_ja,59,59,0,65
BWシリーズ,BW8-Brf,bw8s_ja,51,51,0,58
BWシリーズ,BW9-B,bw9_ja,76,76,0,86
SVシリーズ,SVOD,svod_ja,19,19,0,19
XYシリーズ,XY,xy_ja,42,42,0,188
ソード・シールド,S10D,swsh10d_ja,88,88,0,88
ソード・シールド,S1H,swsh1h_ja,68,68,0,75
ソード・シールド,S1a,swsh1a_ja,78,78,0,86
ソード・シールド,S2a,swsh2a_ja,78,78,0,86
ソード・シールド,S3a,swsh3a_ja,85,85,0,94
ソード・シールド,S5R,swsh5r_ja,81,81,0,91
ソード・シールド,S6a,swsh6a_ja,87,87,0,101
ソード・シールド,S8a,swsh8a_ja,26,26,0,38
ソード・シールド,SGG,sgg_ja,21,20,1,21
XYシリーズ,XY1-By,xy1y_ja,63,63,0,63
XYシリーズ,XY2,xy2_ja,87,87,0,90
XYシリーズ,XY4,xy4_ja,95,95,0,97
XYシリーズ,XY5-Bt,xy5t_ja,78,78,0,80
XYシリーズ,XY8-Br,xy8r_ja,64,64,0,65
SVシリーズ,SV5K,sv5k_ja,100,100,0,100
SVシリーズ,SVOM,svom_ja,20,20,0,20
XYシリーズ,XY1-Bx,xy1x_ja,63,63,0,63
XYシリーズ,XY10-B,xy10_ja,87,87,0,88
XYシリーズ,XY3,xy3_ja,103,103,0,105
XYシリーズ,XY5-Bg,xy5g_ja,78,78,0,80
XYシリーズ,XY6,xy6_ja,11,11,0,91
XYシリーズ,XY7,xy7_ja,11,11,0,97
XYシリーズ,XY8-Bb,xy8b_ja,64,64,0,65
XYシリーズ,XY9-B,xy9_ja,88,88,0,89
SMシリーズ,SMM,smm_ja,31,31,0,31
SVシリーズ,WCS23,wcs23_ja,30,30,0,32
XYシリーズ,CP4,cp4_ja,131,131,0,140
XYシリーズ,CP6,cp6_ja,103,103,0,103
XYシリーズ,CP3,cp3_ja,32,32,0,32
XYシリーズ,CP5,cp5_ja,38,38,0,38
XYシリーズ,CP1,cp1_ja,34,34,0,34
XYシリーズ,CP2,cp2_ja,27,27,0,27
BWシリーズ,DS,ds1_ja,20,20,0,20
