id,set_id,name,name_normalized,card_number,rarity,variant,image_url,image_source_note,is_active,created_at,updated_at,tcgdex_id,hp,category,types,stage,illustrator,regulation_mark,description_ja,attacks,abilities,weaknesses,resistances,retreat,dex_ids,set_order,pokedex_number,image_dhash
5bffec00-0317-479b-8f37-43b819a658eb,6ba347c2-db70-4a00-bd67-01f48ceff2f5,ポケモンセンターのお姉さん,ポケモンセンターノオ姉サン,078,U,normal,https://images.scrydex.com/pokemon/xy2_ja-78/medium,Scrydex public web image / refreshed 2026-08-29,True,2026-08-28 06:28:22.305372+00:00,2026-08-31 02:00:07.622246+00:00,ptcg:XY2:078,,サポート,[],,Maiko Fujiwara,,,[],[],[],[],,[],,,8b39d1d21f07070f
ee16d06a-d9bc-469a-8dfa-5f4c10ca5fdd,cbbbd49a-cc8b-4bbe-83f2-29ebc09f25e3,アクア団のタマザラシ,アクア団ノタマザラシ,003,C,normal,https://images.scrydex.com/pokemon/cp1_ja-3/medium,Scrydex public web image / refreshed 2026-08-29,True,2026-08-28 04:30:54.867370+00:00,2026-08-30 05:24:10.063276+00:00,CP1-003,60,Pokemon,"[""Water""]",Basic,Sanosuke Sakuma,,タマザラシの 水鉄砲は どんな 火だろうと 消せるの。 敵の 使う 炎なんて 効かないわ！,"[{""cost"":[""Water""],""damage"":10,""nameJa"":""みずでっぽう"",""effectJa"":null}]",[],"[{""type"":""Metal"",""value"":""x2""}]",[],2,[363],,,e3f4d6da3e63eb1a
6238cd50-cbff-47c8-bac7-e80f195670e8,86c3c25d-7d9c-4d90-830c-e5366d1be018,プリムのスタジアム,プリムノスタジアム,097,◆,normal,https://images.scrydex.com/pokemon/pcg10_ja-97/large,Scrydex public card image (pcg10_ja),True,2026-08-28 06:28:21.484191+00:00,2026-08-30 05:24:10.063276+00:00,ptcg:WCP:097,,スタジアム,[],,Ryo Ueda,,,[],[],[],[],,[],97,,4eb2330f1f71030f
404010f9-77ff-4eb2-8daa-78e45ac2dbb2,68a3a158-761d-4ef2-8e9c-27b04693d68c,ピカチュウV,ピカチュウv,001,,normal,https://assets.tcgdex.net/ja/S/SN/001/high.webp,TCGdex,True,2026-08-28 04:35:25.677317+00:00,2026-08-30 05:24:10.063276+00:00,SN-001,200,Pokemon,"[""Lightning""]",Basic,You Iribi,F,,"[{""cost"":[""Lightning"",""Lightning"",""Colorless""],""damage"":200,""nameJa"":""ピカドライブ"",""effectJa"":""次の自分の番、このポケモンはワザが使えない。""}]",[],"[{""type"":""Fighting"",""value"":""×2""}]",[],1,[],,,361d9177b7674d3f
be3a0bb8-809c-4873-8f3a-b01af20e6476,43366684-3ba6-4b69-a815-9c96da64469d,サッチムシ,サッチムシ,011,,normal,https://images.scrydex.com/pokemon/swsh4a_ja-11/medium,Scrydex public web image / refreshed 2026-08-29,True,2026-08-28 06:19:13.192931+00:00,2026-08-30 05:24:10.063276+00:00,S4a-011,50,Pokémon,"[""Grass""]",たね,nagimiso,,畑で よく見かける ポケモン。 体に 生えた 毛で まわりで 起きていることを 感じとる。,"[{""cost"":[""Grass""],""name"":""かじる"",""damage"":{""amount"":20,""suffix"":""""},""effect"":""""}]",[],"[{""type"":[""Fire""],""value"":""×2""}]","[{""type"":[],""value"":null}]",1,[824],,,e5ed8cc66c24b899
37da48e2-2673-4dc6-8921-38843562800c,a03039bf-3a15-4b15-9d4f-634488fa9e48,ラグラージ,ラグラージ,014,U,normal,https://images.scrydex.com/pokemon/xy5t_ja-14/medium,Scrydex public web image / refreshed 2026-08-29,True,2026-08-28 06:28:22.750277+00:00,2026-08-30 05:24:10.063276+00:00,ptcg:XY5-Bt:014,150,Pokémon,"[""Water""]",2 進化,Shigenori Negishi,,大型船を 引っ張って 泳ぐ パワーの 持ち主。 太い 腕の 一振りで 相手を たたきのめす。,"[{""cost"":[""Water"",""Colorless"",""Colorless""],""name"":""ウォーターアロー"",""damage"":null,""effect"":""相手のポケモンを1匹選び、60ダメージ。［ベンチは弱点・抵抗力の計算をしない。］""},{""cost"":[""Water"",""Water"",""Colorless"",""Colorless""],""name"":""たきのぼり"",""damage"":{""amount"":120,""suffix"":""""},""effect"":""""}]",[],"[{""type"":[""Grass""],""value"":""×2""}]","[{""type"":[],""value"":null}]",3,[260],,,45196b682e27931a
3d4802d6-6fe6-44a2-b9e1-af8fd993df8c,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,ネズ,ネズ,264,SR,holo,"https://images.scrydex.com/pokemon/swsh8-264/small"",""medium"":""https://images.scrydex.com/pokemon/swsh8-264/medium"",""large"":""https://images.scrydex.com/pokemon/swsh8-264/large""}],""expansion"":{""id"":""swsh8"",""name"":""Fusion",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:09.078259+00:00,2026-08-29 14:06:15.492862+00:00,S8b-264,,Trainer,[],,GOSSAN,D,,[],[],[],[],,[],,,
51a355b2-788b-4648-965e-998f96dd8bc2,7d28ee74-f539-44c6-9aa1-1af5bf6c65aa,ダイノーズ,ダイノーズ,073,U,normal,https://images.scrydex.com/pokemon/swsh2_ja-73/medium,Scrydex public web image / refreshed 2026-08-29,True,2026-08-28 06:28:16.632518+00:00,2026-08-30 05:24:10.063276+00:00,ptcg:S2:073,140,Pokémon,"[""Steel""]",1 進化,Anesaki Dynamic,,３つの 小さな ユニットを 使い エサを とったり 敵と 戦う。 本体は ほぼ 命令するだけ。,"[{""cost"":[""Steel""],""name"":""じゅうりょくおとし"",""damage"":{""amount"":10,""suffix"":""＋""},""effect"":""相手のバトルポケモンのにげるためのエネルギーの数×30ダメージ追加。""},{""cost"":[""Steel"",""Steel"",""Colorless""],""name"":""ヘビーインパクト"",""damage"":{""amount"":120,""suffix"":""""},""effect"":""""}]",[],"[{""type"":[""Fire""],""value"":""×2""}]","[{""type"":[""Grass""],""value"":""－30""}]",4,[476],,,1caeaa9a732a3b34
e839484f-7708-4e9e-870a-83dc0094f7d3,4520bff5-2407-46f6-ad8b-498e9de2e2f0,キャモメ,キャモメ,17,●,normal,https://images.scrydex.com/pokemon/adv1_ja-17/large,Scrydex public card image (adv1_ja),True,2026-08-29 05:36:13.035042+00:00,2026-08-30 05:24:10.063276+00:00,,,,,,,,,,,,,,,17,,86368da52e679b9e
cb89831e-cc3b-47b8-8252-e8c61728c7e6,4520bff5-2407-46f6-ad8b-498e9de2e2f0,ペリッパー,ペリッパー,18,★,normal,https://images.scrydex.com/pokemon/adv1_ja-18/large,Scrydex public card image (adv1_ja),True,2026-08-29 05:36:13.035042+00:00,2026-08-30 05:24:10.063276+00:00,,,,,,,,,,,,,,,18,,1e123c3025678b9e
134d3c28-ef4f-491a-b394-7260983020d5,af1234fc-0c84-4c51-ba4c-cc74829e2d03,ルガルガンex,ルガルガンex,090,SR,holo,https://images.scrydex.com/pokemon/sv1a_ja-90/medium,Scrydex public web image / refreshed 2026-08-29,True,2026-08-28 04:31:22.336270+00:00,2026-08-30 05:24:10.063276+00:00,SV1a-090,260,Pokemon,"[""Fighting""]",Stage1,Ayaka Yoshida,,,"[{""cost"":[""Fighting""],""damage"":40,""nameJa"":""いわおとし"",""effectJa"":null},{""cost"":[""Fighting"",""Colorless"",""Colorless""],""damage"":140,""nameJa"":""スケアリーファング"",""effectJa"":""次の相手の番、このポケモンがワザのダメージを受けたとき、ワザを使ったポケモンにダメカンを10個のせる。""}]",[],"[{""type"":""Grass"",""value"":""×2""}]",[],2,[],,,474b9966c2315729
b7ad9313-7587-453c-b375-4246e7544250,a03039bf-3a15-4b15-9d4f-634488fa9e48,ラグラージ,ラグラージ,015,R,normal,https://images.scrydex.com/pokemon/xy5t_ja-15/medium,Scrydex public web image / refreshed 2026-08-29,True,2026-08-28 06:28:22.750277+00:00,2026-08-30 05:24:10.063276+00:00,ptcg:XY5-Bt:015,140,Pokémon,"[""Water""]",2 進化,Shin Nagasawa,,大型船を 引っ張って 泳ぐ パワーの 持ち主。 太い 腕の 一振りで 相手を たたきのめす。,"[{""cost"":[""Colorless"",""Colorless"",""Colorless""],""name"":""ハイドロポンプ"",""damage"":{""amount"":40,""suffix"":""＋""},""effect"":""このポケモンについているWaterエネルギーの数×30ダメージを追加。""}]","[{""name"":""ダイビングサーチ"",""effect"":""自分の山札から好きなカードを1枚選ぶ。残りの山札を切り、選んだカードを山札の上にもどす。この特性は、自分の番に1回使える。""}]","[{""type"":[""Grass""],""value"":""×2""}]","[{""type"":[],""value"":null}]",3,[],,,6ee9c9ef4e32b6a3
4fc2ee87-27d2-40a6-b3de-dc6183dc87d2,68a3a158-761d-4ef2-8e9c-27b04693d68c,ゼラオラ,ゼラオラ,003,,normal,https://assets.tcgdex.net/ja/S/SN/003/high.webp,TCGdex,True,2026-08-28 04:35:25.677317+00:00,2026-08-30 05:24:10.063276+00:00,SN-003,120,Pokemon,"[""Lightning""]",Basic,Teeziro,E,雷が 落ちるのと 同じ 速さで 敵に 急接近。 鋭い ツメで 八つ裂きに する。,"[{""cost"":[""Lightning"",""Colorless""],""damage"":70,""nameJa"":""ワイルドボルト"",""effectJa"":""このポケモンにも20ダメージ。""}]",[],"[{""type"":""Fighting"",""value"":""×2""}]",[],1,[807],,,aeae98c83266c933
2dc7413c-465a-48ee-8726-52570153f09e,cad53c76-f4d3-43d3-b9ca-b1ab9ab6b74c,イリマ,イリマ,053,,normal,https://www.pokemon-card.com/assets/images/card_images/large/SMA/033177_T_IRIMA.jpg,PTCG-database / pokemon-card.com,True,2026-08-28 06:28:18.709129+00:00,2026-08-30 05:24:12.538725+00:00,ptcg:SMA:053,,サポート,[],,Ken Sugimori,,,[],[],[],[],,[],,,a6dedcd89a252f26
2d7fb770-e8bd-44c0-9313-f9fdf2ade8b0,cad53c76-f4d3-43d3-b9ca-b1ab9ab6b74c,ククイ博士,ククイ博士,054,,normal,https://www.pokemon-card.com/assets/images/card_images/large/SMA/033178_T_KUKUIHAKASE.jpg,PTCG-database / pokemon-card.com,True,2026-08-28 06:28:18.709129+00:00,2026-08-30 05:24:12.538725+00:00,ptcg:SMA:054,,サポート,[],,Ken Sugimori,,,[],[],[],[],,[],,,86d2d6de3a012f26
19f89ceb-ecee-462a-802b-04e5fdf73b61,cad53c76-f4d3-43d3-b9ca-b1ab9ab6b74c,スカル団のしたっぱ,スカル団ノシタッパ,055,,normal,https://www.pokemon-card.com/assets/images/card_images/large/SMA/033179_T_SUKARUDANNOSHITAPPA.jpg,PTCG-database / pokemon-card.com,True,2026-08-28 06:28:18.709129+00:00,2026-08-30 05:24:12.538725+00:00,ptcg:SMA:055,,サポート,[],,Ken Sugimori,,,[],[],[],[],,[],,,86a6eeca6b312f26
257b976e-2572-4716-b3d6-f97a6c923218,cad53c76-f4d3-43d3-b9ca-b1ab9ab6b74c,ハウ,ハウ,056,,normal,https://www.pokemon-card.com/assets/images/card_images/large/SMA/033180_T_HAU.jpg,PTCG-database / pokemon-card.com,True,2026-08-28 06:28:18.709129+00:00,2026-08-30 05:24:12.538725+00:00,ptcg:SMA:056,,サポート,[],,Ken Sugimori,,,[],[],[],[],,[],,,2770e2b032292726
2b7ae4b3-613f-4f1b-9928-281f09b7a941,cad53c76-f4d3-43d3-b9ca-b1ab9ab6b74c,ダブル無色エネルギー,ダブル無色エネルギー,058,,normal,https://www.pokemon-card.com/assets/images/card_images/large/SMA/033182_E_DABURUMUSHOKUENERUGI.jpg,PTCG-database / pokemon-card.com,True,2026-08-28 06:28:18.709129+00:00,2026-08-30 05:24:12.538725+00:00,ptcg:SMA:058,,特殊エネルギー,[],,,,,[],[],[],[],,[],,,d6e68d8e9ab12131
82324ec5-6f69-4fa6-82b9-231f1a6b476f,cad53c76-f4d3-43d3-b9ca-b1ab9ab6b74c,レインボーエネルギー,レインボーエネルギー,059,,normal,https://www.pokemon-card.com/assets/images/card_images/large/SMA/033183_E_REINBOENERUGI.jpg,PTCG-database / pokemon-card.com,True,2026-08-28 06:28:18.709129+00:00,2026-08-30 05:24:12.538725+00:00,ptcg:SMA:059,,特殊エネルギー,[],,,,,[],[],[],[],,[],,,b6b2ccd4a2923931
bda1d954-6a62-40ae-b60d-f717903f7be4,cad53c76-f4d3-43d3-b9ca-b1ab9ab6b74c,リーリエ,リーリエ,057,,normal,https://www.pokemon-card.com/assets/images/card_images/large/SMA/033181_T_RIRIE.jpg,PTCG-database / pokemon-card.com,True,2026-08-28 06:28:18.709129+00:00,2026-08-30 05:24:12.538725+00:00,ptcg:SMA:057,,サポート,[],,Ken Sugimori,,,[],[],[],[],,[],,,a6d2cc8c39232726
f4f67fa5-9aa0-4c06-8603-3b3404b5ff39,86c3c25d-7d9c-4d90-830c-e5366d1be018,ねっこの化石,ネッコノ化石,088,●,normal,https://images.scrydex.com/pokemon/pcg10_ja-88/large,Scrydex public card image (pcg10_ja),True,2026-08-28 06:28:21.330558+00:00,2026-08-30 05:24:12.538725+00:00,ptcg:WCP:088,40,グッズ,[],,Ryo Ueda,,,[],[],[],[],,[],88,,4fae8e9e1979430f
2f5d2435-2cab-43c5-aaec-6f536ed58d49,cad53c76-f4d3-43d3-b9ca-b1ab9ab6b74c,基本炎エネルギー,基本炎エネルギー,FIR,,normal,https://www.pokemon-card.com/assets/images/card_images/large/SMA/033219_E_KIHONHONOOENERUGI.jpg,PTCG-database / pokemon-card.com,True,2026-08-28 06:28:18.709129+00:00,2026-08-30 05:24:12.538725+00:00,ptcg:SMA:FIR,,基本エネルギー,[],,,,,[],[],[],[],,[],,,a78a9e3369b28eb2
fb25b1d5-519a-47aa-a230-a0d8a549f8e6,cad53c76-f4d3-43d3-b9ca-b1ab9ab6b74c,基本草エネルギー,基本草エネルギー,GRA,,normal,https://www.pokemon-card.com/assets/images/card_images/large/SMA/033218_E_KIHONKUSAENERUGI.jpg,PTCG-database / pokemon-card.com,True,2026-08-28 06:28:18.709129+00:00,2026-08-30 05:24:12.538725+00:00,ptcg:SMA:GRA,,基本エネルギー,[],,,,,[],[],[],[],,[],,,a78a9e337bb28eb2
e3f15e65-5314-4388-ab63-815d2aadde34,a03039bf-3a15-4b15-9d4f-634488fa9e48,ルンパッパ,ルンパッパ,016,U,normal,https://images.scrydex.com/pokemon/xy5t_ja-16/medium,Scrydex public web image / refreshed 2026-08-29,True,2026-08-28 06:28:22.750277+00:00,2026-08-30 05:24:10.063276+00:00,ptcg:XY5-Bt:016,130,Pokémon,"[""Water""]",2 進化,kawayoo,,楽しい 音楽の リズムが ルンパッパの 細胞を 活性化させて パワーを 発揮するのだ。,"[{""cost"":[""Colorless""],""name"":""おどろかす"",""damage"":{""amount"":30,""suffix"":""""},""effect"":""相手の手札からオモテを見ないで1枚選ぶ。その後、そのカードを見てから相手の山札にもどし、山札を切る。""},{""cost"":[""Water"",""Colorless"",""Colorless""],""name"":""スプラッシュダンス"",""damage"":{""amount"":60,""suffix"":""""},""effect"":""次の自分の番、このポケモンが使う「スプラッシュダンス」のダメージは「+60」される。""}]",[],"[{""type"":[""Grass""],""value"":""×2""}]","[{""type"":[],""value"":null}]",2,[],,,6fb4596ce173b223
