id,set_id,name,name_normalized,card_number,rarity,variant,image_url,image_source_note,is_active,created_at,updated_at,tcgdex_id,hp,category,types,stage,illustrator,regulation_mark,description_ja,attacks,abilities,weaknesses,resistances,retreat,dex_ids,set_order,pokedex_number,_numkey,numeric_card_number
7f71ebea-2083-4dc9-aada-53082739b2f0,2e3e2cf1-be86-4808-87f7-fe01973f0325,タイカイデン,タイカイデン,251,,holo,"https://images.scrydex.com/magicthegathering/HOB-251/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-251/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-251/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-251,120,Pokemon,"[""Lightning""]",Stage1,Nisota Niso,G,のど袋を ふくらませて 電気を 増幅させる。 風に 乗って １日で ７００キロを 飛行する。,"[{""cost"":[""Colorless""],""damage"":null,""nameJa"":""だんけつサンダー"",""effectJa"":""相手のベンチポケモン1匹に、自分のトラッシュにある、ワザ「だんけつのつばさ」を持つポケモンの枚数×10ダメージ。［ベンチは弱点・抵抗力を計算しない。］""},{""cost"":[""Lightning"",""Colorless"",""Colorless""],""damage"":90,""nameJa"":""スピードウイング"",""effectJa"":null}]",[],"[{""type"":""Lightning"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",0,[941],,,251,251
51fae3e5-fe8f-4b90-bf08-3c259b2ba90e,2e3e2cf1-be86-4808-87f7-fe01973f0325,プクリン,プクリン,252,,holo,"https://images.scrydex.com/magicthegathering/HOB-252/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-252/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-252/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-252,110,Pokemon,"[""Psychic""]",Stage1,Kagemaru Himeno,G,キメ細やかな 毛皮の 持ち主。 怒らせると どんどん ふくらみ のしかかってくるので 注意。,"[{""cost"":[""Psychic"",""Colorless"",""Colorless""],""damage"":100,""nameJa"":""マジカルショット"",""effectJa"":null}]","[{""type"":""Ability"",""nameJa"":""バルーンセラピー"",""effectJa"":""自分の番に1回使える。自分の手札から「セラピーエネルギー」を1枚選び、自分のポケモンにつける。""}]","[{""type"":""Metal"",""value"":""×2""}]",[],2,[40],,,252,252
c8c91916-0f2e-4ad8-bf42-969c4c040662,2e3e2cf1-be86-4808-87f7-fe01973f0325,ケーシィ,ケーシィ,253,,holo,"https://images.scrydex.com/magicthegathering/HOB-253/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-253/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-253/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-253,50,Pokemon,"[""Psychic""]",Basic,Kouki Saitou,G,眠ったまま テレポート できる。 眠りが 深いほど 離れた 場所に 移動する という。,"[{""cost"":[""Psychic""],""damage"":20,""nameJa"":""サイコショット"",""effectJa"":null}]",[],"[{""type"":""Darkness"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",1,[63],,,253,253
8c51160f-e16a-4d0c-adeb-19d7fb3c0666,2e3e2cf1-be86-4808-87f7-fe01973f0325,ユンゲラー,ユンゲラー,254,,holo,"https://images.scrydex.com/magicthegathering/HOB-254/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-254/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-254/large""}],""rulings"":[],""printings"":[""HOB"",""PW26""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-254,80,Pokemon,"[""Psychic""]",Stage1,Souichirou Gunjima,G,念力の 威力は 絶大。 進化に 備えて 額の 星に サイコパワーを 蓄えている。,"[{""cost"":[""Psychic""],""damage"":30,""nameJa"":""テレポートアタック"",""effectJa"":""このポケモンをベンチポケモンと入れ替える。""}]",[],"[{""type"":""Darkness"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",1,[64],,,254,254
8bd06a67-7af0-475b-8e87-a8bc220ae435,2e3e2cf1-be86-4808-87f7-fe01973f0325,ピィ,ピィ,255,,holo,"https://images.scrydex.com/magicthegathering/HOB-255/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-255/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-255/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-255,30,Pokemon,"[""Psychic""]",Basic,Mizue,G,お星さまのような シルエット。 その姿から 流れ星に乗って やって来ると 信じられている。,"[{""cost"":[],""damage"":null,""nameJa"":""にぎにぎドロー"",""effectJa"":""自分の手札が7枚になるように、山札を引く。""}]",[],"[{""type"":""Metal"",""value"":""×2""}]",[],0,[173],,,255,255
7ca176e5-b1d3-411e-b640-baf663d37126,2e3e2cf1-be86-4808-87f7-fe01973f0325,ネイティ,ネイティ,256,,holo,"https://images.scrydex.com/magicthegathering/HOB-256/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-256/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-256/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-256,50,Pokemon,"[""Psychic""]",Basic,sowsow,G,羽が 育ちきって おらず 飛び跳ねるようにして 移動する。 いつも なにかを 見つめている。,"[{""cost"":[""Psychic""],""damage"":""10×"",""nameJa"":""さんれんづき"",""effectJa"":""コインを3回投げ、オモテの数×10ダメージ。""}]",[],"[{""type"":""Darkness"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",1,[177],,,256,256
5d276c04-ce18-4b94-89e0-8701b751ab96,2e3e2cf1-be86-4808-87f7-fe01973f0325,ネイティオ,ネイティオ,257,,holo,"https://images.scrydex.com/magicthegathering/HOB-257/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-257/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-257/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-257,100,Pokemon,"[""Psychic""]",Stage1,nagimiso,G,過去と 未来を 見通せる。 毎日 太陽の 動きを 見続けている 不思議な ポケモン。,"[{""cost"":[""Psychic"",""Colorless"",""Colorless""],""damage"":80,""nameJa"":""ちょうねんりき"",""effectJa"":null}]","[{""type"":""Ability"",""nameJa"":""アカシックセンス"",""effectJa"":""自分の番に1回使える。自分の手札から「基本エネルギー」を1枚選び、ベンチポケモンにつける。その後、自分の山札を2枚引く。""}]","[{""type"":""Darkness"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",1,[178],,,257,257
c93fe0c5-69c4-47dc-9120-92d8ee8e3c05,2e3e2cf1-be86-4808-87f7-fe01973f0325,ラルトス,ラルトス,258,,holo,"https://images.scrydex.com/magicthegathering/HOB-258/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-258/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-258/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-258,70,Pokemon,"[""Psychic""]",Basic,yuu,G,人の 感情を 頭の 赤い ツノで 敏感に キャッチする 力を 持つ。,"[{""cost"":[""Psychic"",""Colorless""],""damage"":30,""nameJa"":""サイコショット"",""effectJa"":null}]",[],"[{""type"":""Darkness"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",1,[280],,,258,258
dc5854dd-c3dd-4046-81bc-c3b0f837dd6c,2e3e2cf1-be86-4808-87f7-fe01973f0325,キルリア,キルリア,259,,holo,"https://images.scrydex.com/magicthegathering/HOB-259/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-259/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-259/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-259,90,Pokemon,"[""Psychic""]",Stage1,Ryuta Fuse,G,サイコパワーを 操り まわりの 空間を ねじ曲げることで 未来を 見通すことができる。,"[{""cost"":[""Psychic"",""Colorless""],""damage"":30,""nameJa"":""マジカルショット"",""effectJa"":null},{""cost"":[""Psychic"",""Psychic"",""Colorless""],""damage"":""60+"",""nameJa"":""サイコキネシス"",""effectJa"":""相手のバトルポケモンについているエネルギーの数×20ダメージ追加。""}]",[],"[{""type"":""Darkness"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",1,[281],,,259,259
0a474b01-ed13-418e-851d-c51244e7bdaa,2e3e2cf1-be86-4808-87f7-fe01973f0325,フワンテ,フワンテ,260,,holo,"https://images.scrydex.com/magicthegathering/HOB-260/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-260/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-260/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-260,70,Pokemon,"[""Psychic""]",Basic,Kyoko Umemoto,G,風船と 間違えて フワンテを 持っていた 小さな 子どもが 消えてしまうことが あるという。,"[{""cost"":[""Colorless"",""Colorless""],""damage"":10,""nameJa"":""かぜおこし"",""effectJa"":null},{""cost"":[""Psychic"",""Psychic""],""damage"":""30×"",""nameJa"":""バルーンボム"",""effectJa"":""このポケモンにのっているダメカンの数×30ダメージ。""}]",[],"[{""type"":""Darkness"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",1,[425],,,260,260
