id,set_id,name,name_normalized,card_number,rarity,variant,image_url,image_source_note,is_active,created_at,updated_at,tcgdex_id,hp,category,types,stage,illustrator,regulation_mark,description_ja,attacks,abilities,weaknesses,resistances,retreat,dex_ids,set_order,pokedex_number,_numkey
cc448bcf-9bd1-4ee6-b542-74830af46176,2e3e2cf1-be86-4808-87f7-fe01973f0325,ジャッジマン,ジャッジマン,342,,holo,"https://images.scrydex.com/magicthegathering/MSH-342/small"",""medium"":""https://images.scrydex.com/magicthegathering/MSH-342/medium"",""large"":""https://images.scrydex.com/magicthegathering/MSH-342/large""}],""rulings"":[],""printings"":[""MSH""],""availability"":[""mtgo"",""paper""],""expansion"":{""id"":""MSH"",""name"":""Marvel",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-342,,Trainer,[],,Hideki Ishikawa,G,,[],[],[],[],,[],,,342
06833880-17e4-479d-8562-595609ff448e,2e3e2cf1-be86-4808-87f7-fe01973f0325,ネルケ,ネルケ,344,,holo,"https://images.scrydex.com/magicthegathering/MSH-344/small"",""medium"":""https://images.scrydex.com/magicthegathering/MSH-344/medium"",""large"":""https://images.scrydex.com/magicthegathering/MSH-344/large""}],""rulings"":[],""printings"":[""MSH""],""availability"":[""mtgo"",""paper""],""expansion"":{""id"":""MSH"",""name"":""Marvel",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-344,,Trainer,[],,GOSSAN,G,,[],[],[],[],,[],,,344
94c4dc9f-906d-4115-824d-18c0fe02b2ae,2e3e2cf1-be86-4808-87f7-fe01973f0325,ナンジャモ,ナンジャモ,350,,holo,"https://images.scrydex.com/magicthegathering/MSH-350/small"",""medium"":""https://images.scrydex.com/magicthegathering/MSH-350/medium"",""large"":""https://images.scrydex.com/magicthegathering/MSH-350/large""},{""type"":""back"",""small"":""https://images.scrydex.com/magicthegathering/MSH-350A/small"",""medium"":""https://images.scrydex.com/magicthegathering/MSH-350A/medium"",""large"":""https://images.scrydex.com/magicthegathering/MSH-350A/large""}],""rulings"":[],""printings"":[""MSH""],""availability"":[""mtgo"",""paper""],""expansion"":{""id"":""MSH"",""name"":""Marvel",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-350,,Trainer,[],,hanabushi,G,,[],[],[],[],,[],,,350
f7e8eb85-51ac-4d15-9b3c-f837cf039bdd,2e3e2cf1-be86-4808-87f7-fe01973f0325,ニューラ,ニューラ,289,,holo,"https://images.scrydex.com/magicthegathering/HOB-289/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-289/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-289/large""}],""rulings"":[],""printings"":[""HOB"",""PW26""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-289,70,Pokemon,"[""Darkness""]",Basic,Kagemaru Himeno,G,自分が 目立たないよう 暗闇に まぎれて 獲物に 襲いかかる とても ずる賢い ポケモン。,"[{""cost"":[""Darkness""],""damage"":20,""nameJa"":""ツメをたてる"",""effectJa"":null}]",[],"[{""type"":""Grass"",""value"":""×2""}]",[],1,[215],,,289
6cc03142-6a52-48d0-adcd-3ac50f84f8ba,2e3e2cf1-be86-4808-87f7-fe01973f0325,キャモメ,キャモメ,311,,holo,"https://images.scrydex.com/magicthegathering/HOB-311/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-311/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-311/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-311,70,Pokemon,"[""Colorless""]",Basic,kurumitsu,G,上昇 気流に 乗って グライダーのように 大空を 舞い くちばしに 挟んだ エサを運ぶ。,"[{""cost"":[""Colorless"",""Colorless""],""damage"":30,""nameJa"":""かぜおこし"",""effectJa"":null}]",[],"[{""type"":""Lightning"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",1,[278],,,311
88eefe2b-fbb6-45bf-9a7a-c23ca60a1897,2e3e2cf1-be86-4808-87f7-fe01973f0325,ボチ,ボチ,274,,holo,"https://images.scrydex.com/magicthegathering/HOB-274/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-274/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-274/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-274,70,Pokemon,"[""Psychic""]",Basic,Nisota Niso,G,人懐っこくて 寂しがり。 ちょっと かまっただけでも いつまでも 後を ついてくるぞ。,"[{""cost"":[""Psychic""],""damage"":""10×"",""nameJa"":""おはかであそぶ"",""effectJa"":""自分のトラッシュにあるポケモンの枚数×10ダメージ。""}]",[],"[{""type"":""Darkness"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",2,[971],,,274
7ecee3ef-fe5a-4c70-9c14-9d980d58a138,2e3e2cf1-be86-4808-87f7-fe01973f0325,カラミンゴ,カラミンゴ,319,,holo,"https://images.scrydex.com/magicthegathering/HOB-319/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-319/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-319/large""}],""rulings"":[],""printings"":[""10E"",""2ED"",""2XM"",""30A"",""3ED"",""40K"",""4BB"",""4ED"",""5ED"",""6ED"",""7ED"",""8ED"",""9ED"",""ACR"",""AFR"",""AKH"",""AKR"",""ALA"",""ANA"",""ANB"",""ARC"",""ATH"",""AVR"",""BBD"",""BFZ"",""BLB"",""BRB"",""BRC"",""BRO"",""C13"",""C14"",""C15"",""C16"",""C17"",""C18"",""C19"",""CED"",""CEI"",""CHK"",""CLB"",""CLU"",""CM2"",""CMA"",""CMD"",""CMM"",""CMR"",""CST"",""DDC"",""DDE"",""DDF"",""DDG"",""DDH"",""DDI"",""DDK"",""DDL"",""DDN"",""DDO"",""DDP"",""DDQ"",""DFT"",""DMR"",""DMU"",""DOM"",""DSK"",""DTK"",""DVD"",""E01"",""ECL"",""ELD"",""EOE"",""FBB"",""FDN"",""FIC"",""FIN"",""FRF"",""G17"",""GK1"",""GK2"",""GN2"",""GN3"",""GNT"",""GRN"",""GS1"",""H09"",""HBG"",""HOB"",""HOP"",""HOU"",""ICE"",""IKO"",""INR"",""INV"",""ISD"",""ITP"",""J14"",""J22"",""J25"",""JMP"",""KHM"",""KLD"",""KLR"",""KTK"",""LCI"",""LEA"",""LEB"",""LRW"",""LTR"",""M10"",""M11"",""M12"",""M13"",""M14"",""M15"",""M19"",""M20"",""M21"",""MBS"",""MD1"",""ME1"",""ME3"",""MH2"",""MH3"",""MID"",""MIR"",""MKM"",""MMQ"",""MOM"",""MRD"",""MSC"",""MSH"",""NEO"",""NPH"",""ODY"",""OLEP"",""ONE"",""ONS"",""ORI"",""OTJ"",""P02"",""P23"",""PAL00"",""PAL01"",""PAL03"",""PAL04"",""PAL05"",""PAL06"",""PAL99"",""PALP"",""PANA"",""PARL"",""PC2"",""PCA"",""PDGM"",""PELP"",""PF19"",""PF20"",""PGPX"",""PGRU"",""PIP"",""PL26"",""PLST"",""PMPS"",""PMPS06"",""PMPS07"",""PMPS08"",""PMPS09"",""PMPS10"",""PMPS11"",""POR"",""PPP1"",""PRM"",""PRW2"",""PRWK"",""PS11"",""PSAL"",""PSS2"",""PSS3"",""PSS4"",""PTC"",""PTK"",""PZ2"",""RAV"",""REX"",""RIX"",""RNA"",""ROE"",""RQS"",""RTR"",""S99"",""SCD"",""SHM"",""SIR"",""SLD"",""SLP"",""SNC"",""SOI"",""SOM"",""SOS"",""SPM"",""STX"",""SUM"",""TD0"",""TD2"",""TDM"",""THB"",""THS"",""TLA"",""TLE"",""TMP"",""TMT"",""TPR"",""TSP"",""UGL"",""UND"",""UNF"",""UNH"",""USG"",""UST"",""VOW"",""WAR"",""WC00"",""WC02"",""WC03"",""WC04"",""WC97"",""WC98"",""WHO"",""WOE"",""XANA"",""XLN"",""ZEN"",""ZNR""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-319,110,Pokemon,"[""Colorless""]",Basic,Akira Komayama,G,お腹に 溜めた エネルギーが くちばしから 漏れないように 首を 根元で 結んでいるらしい。,"[{""cost"":[""Colorless"",""Colorless""],""damage"":""20×"",""nameJa"":""だんけつのつばさ"",""effectJa"":""自分のトラッシュにある、ワザ「だんけつのつばさ」を持つポケモンの枚数×20ダメージ。""}]","[{""type"":""Ability"",""nameJa"":""いっきにむれる"",""effectJa"":""自分の番に、このカードを手札からベンチに出したとき、1回使える。自分の山札から「カラミンゴ」を3枚まで選び、相手に見せて、手札に加える。そして山札を切る。""}]","[{""type"":""Lightning"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",1,[973],,,319
c30b97bc-8c3f-49a1-b153-3b543122d3e0,2e3e2cf1-be86-4808-87f7-fe01973f0325,ネモ,ネモ,343,,holo,"https://images.scrydex.com/magicthegathering/MSH-343/small"",""medium"":""https://images.scrydex.com/magicthegathering/MSH-343/medium"",""large"":""https://images.scrydex.com/magicthegathering/MSH-343/large""}],""rulings"":[],""printings"":[""MSH"",""PMEI""],""availability"":[""mtgo"",""paper""],""expansion"":{""id"":""MSH"",""name"":""Marvel",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-343,,Trainer,[],,Sanosuke Sakuma,G,,[],[],[],[],,[],,,343
c8c91916-0f2e-4ad8-bf42-969c4c040662,2e3e2cf1-be86-4808-87f7-fe01973f0325,ケーシィ,ケーシィ,253,,holo,"https://images.scrydex.com/magicthegathering/HOB-253/small"",""medium"":""https://images.scrydex.com/magicthegathering/HOB-253/medium"",""large"":""https://images.scrydex.com/magicthegathering/HOB-253/large""}],""rulings"":[],""printings"":[""HOB""],""availability"":[""arena"",""mtgo"",""paper""],""expansion"":{""id"":""HOB"",""name"":""The",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-253,50,Pokemon,"[""Psychic""]",Basic,Kouki Saitou,G,眠ったまま テレポート できる。 眠りが 深いほど 離れた 場所に 移動する という。,"[{""cost"":[""Psychic""],""damage"":20,""nameJa"":""サイコショット"",""effectJa"":null}]",[],"[{""type"":""Darkness"",""value"":""×2""}]","[{""type"":""Fighting"",""value"":""-30""}]",1,[63],,,253
2cd837ef-49d6-4663-821a-7bee479bc905,2e3e2cf1-be86-4808-87f7-fe01973f0325,ネモ,ネモ,351,,holo,"https://images.scrydex.com/magicthegathering/MSH-351/small"",""medium"":""https://images.scrydex.com/magicthegathering/MSH-351/medium"",""large"":""https://images.scrydex.com/magicthegathering/MSH-351/large""}],""rulings"":[],""printings"":[""MSH""],""availability"":[""mtgo"",""paper""],""expansion"":{""id"":""MSH"",""name"":""Marvel",Scrydex public web image / rescue 2026-08-29,True,2026-08-28 04:31:24.823418+00:00,2026-08-29 14:06:15.492862+00:00,SV4a-351,,Trainer,[],,aspara,G,,[],[],[],[],,[],,,351
