card_number,db_id,db_name,db_rarity,db_image_url,scrydex_name,scrydex_japanese_name,scrydex_rarity,scrydex_image_url,scrydex_card_url
1,f02bc850-a705-441e-a451-8f82311f8632,ナゾノクサ,,https://images.scrydex.com/pokemon/sv4a_ja-1/medium,Oddish,ナゾノクサ,,https://images.scrydex.com/pokemon/sv4a_ja-1/medium,https://scrydex.com/pokemon/cards/oddish/sv4a_ja-1?variant=normal
2,fce6c308-62d9-479e-805b-809f69684375,クサイハナ,,https://images.scrydex.com/pokemon/sv4a_ja-2/medium,Gloom,クサイハナ,,https://images.scrydex.com/pokemon/sv4a_ja-2/medium,https://scrydex.com/pokemon/cards/gloom/sv4a_ja-2?variant=normal
3,3074bdac-9a2e-401d-a08c-4173cb9919b4,ラフレシア,,https://images.scrydex.com/pokemon/sv4a_ja-3/medium,Vileplume,ラフレシア,,https://images.scrydex.com/pokemon/sv4a_ja-3/medium,https://scrydex.com/pokemon/cards/vileplume/sv4a_ja-3?variant=holofoil
4,e3fbbe7c-277b-471b-9dbc-f9f2e1a8bb61,ストライク,,https://images.scrydex.com/pokemon/sv4a_ja-4/medium,Scyther,ストライク,,https://images.scrydex.com/pokemon/sv4a_ja-4/medium,https://scrydex.com/pokemon/cards/scyther/sv4a_ja-4?variant=normal
5,3d117b16-253d-48bb-b893-47ce3ca336f5,ハネッコ,,https://images.scrydex.com/pokemon/sv4a_ja-5/medium,Hoppip,ハネッコ,,https://images.scrydex.com/pokemon/sv4a_ja-5/medium,https://scrydex.com/pokemon/cards/hoppip/sv4a_ja-5?variant=normal
6,9f6b03ba-42a6-4d77-9f5c-f05925108ab8,ポポッコ,,https://images.scrydex.com/pokemon/sv4a_ja-6/medium,Skiploom,ポポッコ,,https://images.scrydex.com/pokemon/sv4a_ja-6/medium,https://scrydex.com/pokemon/cards/skiploom/sv4a_ja-6?variant=normal
7,122af85c-0361-41d7-b069-fd8da75e945c,ワタッコ,,https://images.scrydex.com/pokemon/sv4a_ja-7/medium,Jumpluff,ワタッコ,,https://images.scrydex.com/pokemon/sv4a_ja-7/medium,https://scrydex.com/pokemon/cards/jumpluff/sv4a_ja-7?variant=holofoil
8,64dea068-2602-4926-8621-1387225134a4,クヌギダマ,,https://images.scrydex.com/pokemon/sv4a_ja-8/medium,Pineco,クヌギダマ,,https://images.scrydex.com/pokemon/sv4a_ja-8/medium,https://scrydex.com/pokemon/cards/pineco/sv4a_ja-8?variant=normal
9,2daef6a0-1446-47c8-a3a1-5faa708f1dcf,フォレトスex,RR,https://images.scrydex.com/pokemon/sv4a_ja-9/medium,Forretress ex,フォレトスex,S,https://images.scrydex.com/pokemon/sv4a_ja-9/medium,https://scrydex.com/pokemon/cards/forretress-ex/sv4a_ja-9?variant=holofoil
10,06637f94-2be3-464f-ae66-5a9f7ae2f565,ユキカブリ,,https://images.scrydex.com/pokemon/sv4a_ja-10/medium,Snover,ユキカブリ,,https://images.scrydex.com/pokemon/sv4a_ja-10/medium,https://scrydex.com/pokemon/cards/snover/sv4a_ja-10?variant=normal
11,7869172b-51ab-4aba-b3be-3097bb6f37eb,ユキノオー,,https://images.scrydex.com/pokemon/sv4a_ja-11/medium,Abomasnow,ユキノオー,,https://images.scrydex.com/pokemon/sv4a_ja-11/medium,https://scrydex.com/pokemon/cards/abomasnow/sv4a_ja-11?variant=holofoil
12,5e9c148d-70f7-4e40-a115-7589c6930b69,ニャオハ,,https://images.scrydex.com/pokemon/sv4a_ja-12/medium,Sprigatito,ニャオハ,,https://images.scrydex.com/pokemon/sv4a_ja-12/medium,https://scrydex.com/pokemon/cards/sprigatito/sv4a_ja-12?variant=normal
13,f818478b-8607-4e17-b5b5-c672029d3ade,ニャローテ,,https://images.scrydex.com/pokemon/sv4a_ja-13/medium,Floragato,ニャローテ,,https://images.scrydex.com/pokemon/sv4a_ja-13/medium,https://scrydex.com/pokemon/cards/floragato/sv4a_ja-13?variant=normal
14,7dc140ba-ed2e-4b82-9ba7-30963d1d563c,マスカーニャex,RR,https://images.scrydex.com/pokemon/sv4a_ja-14/medium,Meowscarada ex,マスカーニャex,S,https://images.scrydex.com/pokemon/sv4a_ja-14/medium,https://scrydex.com/pokemon/cards/meowscarada-ex/sv4a_ja-14?variant=holofoil
15,5d2b40ba-175a-4fb5-bdb3-ffea9f84d64d,ミニーブ,,https://images.scrydex.com/pokemon/sv4a_ja-15/medium,Smoliv,ミニーブ,,https://images.scrydex.com/pokemon/sv4a_ja-15/medium,https://scrydex.com/pokemon/cards/smoliv/sv4a_ja-15?variant=normal
16,cb14a24f-28f4-4102-ba60-a164f1efc0ba,オリーニョ,,https://images.scrydex.com/pokemon/sv4a_ja-16/medium,Dolliv,オリーニョ,,https://images.scrydex.com/pokemon/sv4a_ja-16/medium,https://scrydex.com/pokemon/cards/dolliv/sv4a_ja-16?variant=normal
17,a6766d8b-c0c8-4702-b7fb-bb0539601db9,オリーヴァ,,https://images.scrydex.com/pokemon/sv4a_ja-17/medium,Arboliva,オリーヴァ,,https://images.scrydex.com/pokemon/sv4a_ja-17/medium,https://scrydex.com/pokemon/cards/arboliva/sv4a_ja-17?variant=holofoil
18,a43f437d-e59f-4dc5-a6c0-bd85e59ebcbe,ノノクラゲ,,https://images.scrydex.com/pokemon/sv4a_ja-18/medium,Toedscool,ノノクラゲ,,https://images.scrydex.com/pokemon/sv4a_ja-18/medium,https://scrydex.com/pokemon/cards/toedscool/sv4a_ja-18?variant=normal
19,3e9d9cfc-201d-4f5f-b5eb-24f41466e3b0,リククラゲex,RR,https://images.scrydex.com/pokemon/sv4a_ja-19/medium,Toedscruel ex,リククラゲex,S,https://images.scrydex.com/pokemon/sv4a_ja-19/medium,https://scrydex.com/pokemon/cards/toedscruel-ex/sv4a_ja-19?variant=holofoil
20,44811982-ae6a-44f2-be37-ed8b597c2021,カプサイジ,,https://images.scrydex.com/pokemon/sv4a_ja-20/medium,Capsakid,カプサイジ,,https://images.scrydex.com/pokemon/sv4a_ja-20/medium,https://scrydex.com/pokemon/cards/capsakid/sv4a_ja-20?variant=normal
21,e921dbc6-5546-4cac-9eec-8d1e52275986,スコヴィラン,,https://images.scrydex.com/pokemon/sv4a_ja-21/medium,Scovillain,スコヴィラン,,https://images.scrydex.com/pokemon/sv4a_ja-21/medium,https://scrydex.com/pokemon/cards/scovillain/sv4a_ja-21?variant=holofoil
22,5fda9ccf-d7e6-4ad0-88d5-71d0f1311e3d,シガロコ,,https://images.scrydex.com/pokemon/sv4a_ja-22/medium,Rellor,シガロコ,,https://images.scrydex.com/pokemon/sv4a_ja-22/medium,https://scrydex.com/pokemon/cards/rellor/sv4a_ja-22?variant=normal
23,46b258b6-e97e-4ba4-9c06-df203a49c56d,クエスパトラex,RR,https://images.scrydex.com/pokemon/sv4a_ja-23/medium,Espathra ex,クエスパトラex,S,https://images.scrydex.com/pokemon/sv4a_ja-23/medium,https://scrydex.com/pokemon/cards/espathra-ex/sv4a_ja-23?variant=holofoil
24,6dea0b87-3c0e-46ee-8bdb-a861c03fb251,チオンジェンex,RR,https://images.scrydex.com/pokemon/sv4a_ja-24/medium,Wo-Chien ex,チオンジェンex,S,https://images.scrydex.com/pokemon/sv4a_ja-24/medium,https://scrydex.com/pokemon/cards/wo-chien-ex/sv4a_ja-24?variant=holofoil
25,01bd05a1-444a-4b43-958f-91a7817794ba,ヒトカゲ,,https://images.scrydex.com/pokemon/sv4a_ja-25/medium,Charmander,ヒトカゲ,,https://images.scrydex.com/pokemon/sv4a_ja-25/medium,https://scrydex.com/pokemon/cards/charmander/sv4a_ja-25?variant=normal
26,7fd3552e-0423-4b46-8f74-49a87c5f78f3,リザード,,https://images.scrydex.com/pokemon/sv4a_ja-26/medium,Charmeleon,リザード,,https://images.scrydex.com/pokemon/sv4a_ja-26/medium,https://scrydex.com/pokemon/cards/charmeleon/sv4a_ja-26?variant=normal
27,256c9d22-ce43-41ef-b350-4ba56ef47f38,パルデア ケンタロス,,https://images.scrydex.com/pokemon/sv4a_ja-27/medium,Paldean Tauros,パルデア ケンタロス,,https://images.scrydex.com/pokemon/sv4a_ja-27/medium,https://scrydex.com/pokemon/cards/paldean-tauros/sv4a_ja-27?variant=normal
28,d11d2652-6288-41e7-abcb-b021bf1acad5,エンテイ,,https://images.scrydex.com/pokemon/sv4a_ja-28/medium,Entei,エンテイ,,https://images.scrydex.com/pokemon/sv4a_ja-28/medium,https://scrydex.com/pokemon/cards/entei/sv4a_ja-28?variant=holofoil
29,becbbec9-5e67-4577-91b1-e5ed06775258,オドリドリ,,https://images.scrydex.com/pokemon/sv4a_ja-29/medium,Oricorio,オドリドリ,,https://images.scrydex.com/pokemon/sv4a_ja-29/medium,https://scrydex.com/pokemon/cards/oricorio/sv4a_ja-29?variant=holofoil
30,375b7ab3-2ad8-4b2e-9439-498a29fd7dc4,ホゲータ,,https://images.scrydex.com/pokemon/sv4a_ja-30/medium,Fuecoco,ホゲータ,,https://images.scrydex.com/pokemon/sv4a_ja-30/medium,https://scrydex.com/pokemon/cards/fuecoco/sv4a_ja-30?variant=normal
31,556b1d5c-80f3-4934-9a6e-1389d859708c,アチゲータ,,https://images.scrydex.com/pokemon/sv4a_ja-31/medium,Crocalor,アチゲータ,,https://images.scrydex.com/pokemon/sv4a_ja-31/medium,https://scrydex.com/pokemon/cards/crocalor/sv4a_ja-31?variant=normal
32,0960bea6-20e5-4555-810c-0ed0fbe90980,ラウドボーンex,RR,https://images.scrydex.com/pokemon/sv4a_ja-32/medium,Skeledirge ex,ラウドボーンex,S,https://images.scrydex.com/pokemon/sv4a_ja-32/medium,https://scrydex.com/pokemon/cards/skeledirge-ex/sv4a_ja-32?variant=holofoil
33,ab8ba812-5bc7-4709-b257-24e7308f9a80,カルボウ,,https://images.scrydex.com/pokemon/sv4a_ja-33/medium,Charcadet,カルボウ,,https://images.scrydex.com/pokemon/sv4a_ja-33/medium,https://scrydex.com/pokemon/cards/charcadet/sv4a_ja-33?variant=normal
34,8335aad0-d41c-4cec-ae2a-f9b500ba606e,グレンアルマ,,https://images.scrydex.com/pokemon/sv4a_ja-34/medium,Armarouge,グレンアルマ,,https://images.scrydex.com/pokemon/sv4a_ja-34/medium,https://scrydex.com/pokemon/cards/armarouge/sv4a_ja-34?variant=holofoil
35,fffad6ee-46bc-4189-80ad-5bd61c37fa12,イーユイex,RR,https://images.scrydex.com/pokemon/sv4a_ja-35/medium,Chi-Yu ex,イーユイex,S,https://images.scrydex.com/pokemon/sv4a_ja-35/medium,https://scrydex.com/pokemon/cards/chi-yu-ex/sv4a_ja-35?variant=holofoil
36,f8f200be-4a76-4fba-8e2e-2b732d4376a3,ヤドン,,https://images.scrydex.com/pokemon/sv4a_ja-36/medium,Slowpoke,ヤドン,,https://images.scrydex.com/pokemon/sv4a_ja-36/medium,https://scrydex.com/pokemon/cards/slowpoke/sv4a_ja-36?variant=normal
37,98f850ea-1e80-4f9f-b613-d9b7efbd3ba7,ヤドラン,,https://images.scrydex.com/pokemon/sv4a_ja-37/medium,Slowbro,ヤドラン,,https://images.scrydex.com/pokemon/sv4a_ja-37/medium,https://scrydex.com/pokemon/cards/slowbro/sv4a_ja-37?variant=holofoil
38,676113f6-36a6-45c3-9401-c6f81b8e9ecf,ヒトデマン,,https://images.scrydex.com/pokemon/sv4a_ja-38/medium,Staryu,ヒトデマン,,https://images.scrydex.com/pokemon/sv4a_ja-38/medium,https://scrydex.com/pokemon/cards/staryu/sv4a_ja-38?variant=normal
39,4beadc52-76a9-4eb0-9533-afcdfdfd9d31,スターミー,,https://images.scrydex.com/pokemon/sv4a_ja-39/medium,Starmie,スターミー,,https://images.scrydex.com/pokemon/sv4a_ja-39/medium,https://scrydex.com/pokemon/cards/starmie/sv4a_ja-39?variant=holofoil
40,e61b2023-2c75-48d1-b8c4-3e6b7a512f8b,パルデア ケンタロス,,https://images.scrydex.com/pokemon/sv4a_ja-40/medium,Paldean Tauros,パルデア ケンタロス,,https://images.scrydex.com/pokemon/sv4a_ja-40/medium,https://scrydex.com/pokemon/cards/paldean-tauros/sv4a_ja-40?variant=normal
41,e809e68d-7636-4b3c-ada0-7f2274096596,クワッス,,https://images.scrydex.com/pokemon/sv4a_ja-41/medium,Quaxly,クワッス,,https://images.scrydex.com/pokemon/sv4a_ja-41/medium,https://scrydex.com/pokemon/cards/quaxly/sv4a_ja-41?variant=normal
42,3d6d7d63-562b-4db1-b217-b0ac88452996,ウェルカモ,,https://images.scrydex.com/pokemon/sv4a_ja-42/medium,Quaxwell,ウェルカモ,,https://images.scrydex.com/pokemon/sv4a_ja-42/medium,https://scrydex.com/pokemon/cards/quaxwell/sv4a_ja-42?variant=normal
43,82323ac2-3a65-44d5-8862-747b1de984ae,ウェーニバルex,RR,https://images.scrydex.com/pokemon/sv4a_ja-43/medium,Quaquaval ex,ウェーニバルex,S,https://images.scrydex.com/pokemon/sv4a_ja-43/medium,https://scrydex.com/pokemon/cards/quaquaval-ex/sv4a_ja-43?variant=holofoil
44,8fbf463e-5b86-45bd-a6cb-6cd2642b88bd,ウミディグダ,,https://images.scrydex.com/pokemon/sv4a_ja-44/medium,Wiglett,ウミディグダ,,https://images.scrydex.com/pokemon/sv4a_ja-44/medium,https://scrydex.com/pokemon/cards/wiglett/sv4a_ja-44?variant=normal
45,0fab2db8-4a4e-43ea-9fd8-b138f30770bf,ウミトリオ,,https://images.scrydex.com/pokemon/sv4a_ja-45/medium,Wugtrio,ウミトリオ,,https://images.scrydex.com/pokemon/sv4a_ja-45/medium,https://scrydex.com/pokemon/cards/wugtrio/sv4a_ja-45?variant=normal
46,8dbc9d3b-5a1d-4a3a-8b28-864415a11878,ナミイルカ,,https://images.scrydex.com/pokemon/sv4a_ja-46/medium,Finizen,ナミイルカ,,https://images.scrydex.com/pokemon/sv4a_ja-46/medium,https://scrydex.com/pokemon/cards/finizen/sv4a_ja-46?variant=normal
47,25e342c9-4407-48a9-8fc2-d2ac17c5eee6,イルカマン,,https://images.scrydex.com/pokemon/sv4a_ja-47/medium,Palafin,イルカマン,,https://images.scrydex.com/pokemon/sv4a_ja-47/medium,https://scrydex.com/pokemon/cards/palafin/sv4a_ja-47?variant=holofoil
48,d7df2d9e-ef31-4c5b-b3b2-f8e04ec44854,ミガルーサ,,https://images.scrydex.com/pokemon/sv4a_ja-48/medium,Veluza,ミガルーサ,,https://images.scrydex.com/pokemon/sv4a_ja-48/medium,https://scrydex.com/pokemon/cards/veluza/sv4a_ja-48?variant=holofoil
49,3911c484-49d4-4603-bd7e-f6acdd9cc080,ヘイラッシャ,,https://images.scrydex.com/pokemon/sv4a_ja-49/medium,Dondozo,ヘイラッシャ,,https://images.scrydex.com/pokemon/sv4a_ja-49/medium,https://scrydex.com/pokemon/cards/dondozo/sv4a_ja-49?variant=holofoil
50,1b83b261-14ed-44ef-a827-d726e8555abc,シャリタツ,,https://images.scrydex.com/pokemon/sv4a_ja-50/medium,Tatsugiri,シャリタツ,,https://images.scrydex.com/pokemon/sv4a_ja-50/medium,https://scrydex.com/pokemon/cards/tatsugiri/sv4a_ja-50?variant=normal
51,b02d5140-a8e2-481e-b94d-1e33dd493036,セビエ,,https://images.scrydex.com/pokemon/sv4a_ja-51/medium,Frigibax,セビエ,,https://images.scrydex.com/pokemon/sv4a_ja-51/medium,https://scrydex.com/pokemon/cards/frigibax/sv4a_ja-51?variant=normal
52,8042b100-d9ad-4957-b05b-a640a60dac27,セゴール,,https://images.scrydex.com/pokemon/sv4a_ja-52/medium,Arctibax,セゴール,,https://images.scrydex.com/pokemon/sv4a_ja-52/medium,https://scrydex.com/pokemon/cards/arctibax/sv4a_ja-52?variant=normal
53,982da7d8-7418-4757-86bf-902eb763c0f4,セグレイブ,,https://images.scrydex.com/pokemon/sv4a_ja-53/medium,Baxcalibur,セグレイブ,,https://images.scrydex.com/pokemon/sv4a_ja-53/medium,https://scrydex.com/pokemon/cards/baxcalibur/sv4a_ja-53?variant=holofoil
54,82dd1149-bfce-4b0c-93ce-991601e0fb1e,パオジアンex,RR,https://images.scrydex.com/pokemon/sv4a_ja-54/medium,Chien-Pao ex,パオジアンex,S,https://images.scrydex.com/pokemon/sv4a_ja-54/medium,https://scrydex.com/pokemon/cards/chien-pao-ex/sv4a_ja-54?variant=holofoil
55,e0753045-6467-41c9-b2be-18a1eefe554b,ピカチュウ,,https://images.scrydex.com/pokemon/sv4a_ja-55/medium,Pikachu,ピカチュウ,,https://images.scrydex.com/pokemon/sv4a_ja-55/medium,https://scrydex.com/pokemon/cards/pikachu/sv4a_ja-55?variant=normal
56,87ad380d-2b9f-4f39-9e45-76af484812f5,ライチュウ,,https://images.scrydex.com/pokemon/sv4a_ja-56/medium,Raichu,ライチュウ,,https://images.scrydex.com/pokemon/sv4a_ja-56/medium,https://scrydex.com/pokemon/cards/raichu/sv4a_ja-56?variant=holofoil
57,7153eea5-16d7-40a8-9683-c2f59befff91,ビリリダマ,,https://images.scrydex.com/pokemon/sv4a_ja-57/medium,Voltorb,ビリリダマ,,https://images.scrydex.com/pokemon/sv4a_ja-57/medium,https://scrydex.com/pokemon/cards/voltorb/sv4a_ja-57?variant=normal
58,b691c0cd-271a-46e8-9915-21fd720cfae9,マルマイン,,https://images.scrydex.com/pokemon/sv4a_ja-58/medium,Electrode,マルマイン,,https://images.scrydex.com/pokemon/sv4a_ja-58/medium,https://scrydex.com/pokemon/cards/electrode/sv4a_ja-58?variant=holofoil
59,ceff169d-cace-4a43-9945-6f2bdf6f5ce9,コリンク,,https://images.scrydex.com/pokemon/sv4a_ja-59/medium,Shinx,コリンク,,https://images.scrydex.com/pokemon/sv4a_ja-59/medium,https://scrydex.com/pokemon/cards/shinx/sv4a_ja-59?variant=normal
60,77160cd4-58a0-4bda-8485-52e0cc75b74e,ルクシオ,,https://images.scrydex.com/pokemon/sv4a_ja-60/medium,Luxio,ルクシオ,,https://images.scrydex.com/pokemon/sv4a_ja-60/medium,https://scrydex.com/pokemon/cards/luxio/sv4a_ja-60?variant=normal
61,7a43cc82-807c-4973-b930-c6ecb0eb426b,レントラー,,https://images.scrydex.com/pokemon/sv4a_ja-61/medium,Luxray,レントラー,,https://images.scrydex.com/pokemon/sv4a_ja-61/medium,https://scrydex.com/pokemon/cards/luxray/sv4a_ja-61?variant=holofoil
62,20a3d1a6-b1b8-41bf-a945-71bf89ce1353,パチリス,,https://images.scrydex.com/pokemon/sv4a_ja-62/medium,Pachirisu,パチリス,,https://images.scrydex.com/pokemon/sv4a_ja-62/medium,https://scrydex.com/pokemon/cards/pachirisu/sv4a_ja-62?variant=normal
63,9101e15f-da45-4ac1-b45d-e8fe5ef7a2a2,ボルトロス,,https://images.scrydex.com/pokemon/sv4a_ja-63/medium,Thundurus,ボルトロス,,https://images.scrydex.com/pokemon/sv4a_ja-63/medium,https://scrydex.com/pokemon/cards/thundurus/sv4a_ja-63?variant=holofoil
