card_number,link_text,scrydex_card_url,scrydex_name,scrydex_japanese_name,scrydex_rarity,scrydex_image_url,final_url
1,Oddish #1 $0.14,https://scrydex.com/pokemon/cards/oddish/sv4a_ja-1?variant=normal,Oddish,ナゾノクサ,,https://images.scrydex.com/pokemon/sv4a_ja-1/medium,https://scrydex.com/pokemon/cards/oddish/sv4a_ja-1?variant=normal
2,Gloom #2 $0.07,https://scrydex.com/pokemon/cards/gloom/sv4a_ja-2?variant=normal,Gloom,クサイハナ,,https://images.scrydex.com/pokemon/sv4a_ja-2/medium,https://scrydex.com/pokemon/cards/gloom/sv4a_ja-2?variant=normal
3,Vileplume #3 $0.17,https://scrydex.com/pokemon/cards/vileplume/sv4a_ja-3?variant=holofoil,Vileplume,ラフレシア,,https://images.scrydex.com/pokemon/sv4a_ja-3/medium,https://scrydex.com/pokemon/cards/vileplume/sv4a_ja-3?variant=holofoil
4,Scyther #4 $0.11,https://scrydex.com/pokemon/cards/scyther/sv4a_ja-4?variant=normal,Scyther,ストライク,,https://images.scrydex.com/pokemon/sv4a_ja-4/medium,https://scrydex.com/pokemon/cards/scyther/sv4a_ja-4?variant=normal
5,Hoppip #5 $0.11,https://scrydex.com/pokemon/cards/hoppip/sv4a_ja-5?variant=normal,Hoppip,ハネッコ,,https://images.scrydex.com/pokemon/sv4a_ja-5/medium,https://scrydex.com/pokemon/cards/hoppip/sv4a_ja-5?variant=normal
6,Skiploom #6 $0.13,https://scrydex.com/pokemon/cards/skiploom/sv4a_ja-6?variant=normal,Skiploom,ポポッコ,,https://images.scrydex.com/pokemon/sv4a_ja-6/medium,https://scrydex.com/pokemon/cards/skiploom/sv4a_ja-6?variant=normal
7,Jumpluff #7 $0.18,https://scrydex.com/pokemon/cards/jumpluff/sv4a_ja-7?variant=holofoil,Jumpluff,ワタッコ,,https://images.scrydex.com/pokemon/sv4a_ja-7/medium,https://scrydex.com/pokemon/cards/jumpluff/sv4a_ja-7?variant=holofoil
8,Pineco #8 $0.08,https://scrydex.com/pokemon/cards/pineco/sv4a_ja-8?variant=normal,Pineco,クヌギダマ,,https://images.scrydex.com/pokemon/sv4a_ja-8/medium,https://scrydex.com/pokemon/cards/pineco/sv4a_ja-8?variant=normal
9,Forretress ex #9 $0.28,https://scrydex.com/pokemon/cards/forretress-ex/sv4a_ja-9?variant=holofoil,Forretress ex,フォレトスex,S,https://images.scrydex.com/pokemon/sv4a_ja-9/medium,https://scrydex.com/pokemon/cards/forretress-ex/sv4a_ja-9?variant=holofoil
10,Snover #10 $0.09,https://scrydex.com/pokemon/cards/snover/sv4a_ja-10?variant=normal,Snover,ユキカブリ,,https://images.scrydex.com/pokemon/sv4a_ja-10/medium,https://scrydex.com/pokemon/cards/snover/sv4a_ja-10?variant=normal
11,Abomasnow #11 $0.16,https://scrydex.com/pokemon/cards/abomasnow/sv4a_ja-11?variant=holofoil,Abomasnow,ユキノオー,,https://images.scrydex.com/pokemon/sv4a_ja-11/medium,https://scrydex.com/pokemon/cards/abomasnow/sv4a_ja-11?variant=holofoil
