card_number,link_text,scrydex_card_url,scrydex_name,scrydex_japanese_name,scrydex_rarity,scrydex_image_url,final_url,reason
127,Shroodle #127 $0.07,https://scrydex.com/pokemon/cards/shroodle/sv4a_ja-127?variant=normal,Shroodle,シルシュルー,,https://images.scrydex.com/pokemon/sv4a_ja-127/medium,https://scrydex.com/pokemon/cards/shroodle/sv4a_ja-127?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
128,Grafaiai #128 $0.06,https://scrydex.com/pokemon/cards/grafaiai/sv4a_ja-128?variant=normal,Grafaiai,タギングル,,https://images.scrydex.com/pokemon/sv4a_ja-128/medium,https://scrydex.com/pokemon/cards/grafaiai/sv4a_ja-128?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
129,Scizor #129 $0.22,https://scrydex.com/pokemon/cards/scizor/sv4a_ja-129?variant=holofoil,Scizor,ハッサム,,https://images.scrydex.com/pokemon/sv4a_ja-129/medium,https://scrydex.com/pokemon/cards/scizor/sv4a_ja-129?variant=holofoil,NO_OFFICIAL_EXACT_NUMBER_MATCH
130,Varoom #130 $0.10,https://scrydex.com/pokemon/cards/varoom/sv4a_ja-130?variant=normal,Varoom,ブロロン,,https://images.scrydex.com/pokemon/sv4a_ja-130/medium,https://scrydex.com/pokemon/cards/varoom/sv4a_ja-130?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
131,Revavroom #131 $0.14,https://scrydex.com/pokemon/cards/revavroom/sv4a_ja-131?variant=holofoil,Revavroom,ブロロローム,,https://images.scrydex.com/pokemon/sv4a_ja-131/medium,https://scrydex.com/pokemon/cards/revavroom/sv4a_ja-131?variant=holofoil,NO_OFFICIAL_EXACT_NUMBER_MATCH
132,Iron Treads ex #132 $0.22,https://scrydex.com/pokemon/cards/iron-treads-ex/sv4a_ja-132?variant=holofoil,Iron Treads ex,テツノワダチex,S,https://images.scrydex.com/pokemon/sv4a_ja-132/medium,https://scrydex.com/pokemon/cards/iron-treads-ex/sv4a_ja-132?variant=holofoil,NO_OFFICIAL_EXACT_NUMBER_MATCH
133,Gholdengo #133 $0.09,https://scrydex.com/pokemon/cards/gholdengo/sv4a_ja-133?variant=normal,Gholdengo,サーフゴー,,https://images.scrydex.com/pokemon/sv4a_ja-133/medium,https://scrydex.com/pokemon/cards/gholdengo/sv4a_ja-133?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
134,Noibat #134 $0.08,https://scrydex.com/pokemon/cards/noibat/sv4a_ja-134?variant=normal,Noibat,オンバット,,https://images.scrydex.com/pokemon/sv4a_ja-134/medium,https://scrydex.com/pokemon/cards/noibat/sv4a_ja-134?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
135,Noivern ex #135 $0.24,https://scrydex.com/pokemon/cards/noivern-ex/sv4a_ja-135?variant=holofoil,Noivern ex,オンバーンex,S,https://images.scrydex.com/pokemon/sv4a_ja-135/medium,https://scrydex.com/pokemon/cards/noivern-ex/sv4a_ja-135?variant=holofoil,NO_OFFICIAL_EXACT_NUMBER_MATCH
136,Cyclizar #136 $0.03,https://scrydex.com/pokemon/cards/cyclizar/sv4a_ja-136?variant=normal,Cyclizar,モトトカゲ,,https://images.scrydex.com/pokemon/sv4a_ja-136/medium,https://scrydex.com/pokemon/cards/cyclizar/sv4a_ja-136?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
137,Pidgey #137 $0.08,https://scrydex.com/pokemon/cards/pidgey/sv4a_ja-137?variant=normal,Pidgey,ポッポ,,https://images.scrydex.com/pokemon/sv4a_ja-137/medium,https://scrydex.com/pokemon/cards/pidgey/sv4a_ja-137?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
138,Pidgeotto #138 $0.13,https://scrydex.com/pokemon/cards/pidgeotto/sv4a_ja-138?variant=normal,Pidgeotto,ピジョン,,https://images.scrydex.com/pokemon/sv4a_ja-138/medium,https://scrydex.com/pokemon/cards/pidgeotto/sv4a_ja-138?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
139,Pidgeot ex #139 $0.28,https://scrydex.com/pokemon/cards/pidgeot-ex/sv4a_ja-139?variant=holofoil,Pidgeot ex,ピジョットex,S,https://images.scrydex.com/pokemon/sv4a_ja-139/medium,https://scrydex.com/pokemon/cards/pidgeot-ex/sv4a_ja-139?variant=holofoil,NO_OFFICIAL_EXACT_NUMBER_MATCH
140,Jigglypuff #140 $0.14,https://scrydex.com/pokemon/cards/jigglypuff/sv4a_ja-140?variant=normal,Jigglypuff,プリン,,https://images.scrydex.com/pokemon/sv4a_ja-140/medium,https://scrydex.com/pokemon/cards/jigglypuff/sv4a_ja-140?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
141,Wigglytuff ex #141 $0.27,https://scrydex.com/pokemon/cards/wigglytuff-ex/sv4a_ja-141?variant=holofoil,Wigglytuff ex,プクリンex,S,https://images.scrydex.com/pokemon/sv4a_ja-141/medium,https://scrydex.com/pokemon/cards/wigglytuff-ex/sv4a_ja-141?variant=holofoil,NO_OFFICIAL_EXACT_NUMBER_MATCH
