card_number,link_text,scrydex_card_url,scrydex_name,scrydex_japanese_name,scrydex_rarity,scrydex_image_url,final_url,reason,official_search_url,official_detail_links_found,official_links_checked
127,Shroodle #127 $0.07,https://scrydex.com/pokemon/cards/shroodle/sv4a_ja-127?variant=normal,Shroodle,シルシュルー,,https://images.scrydex.com/pokemon/sv4a_ja-127/medium,https://scrydex.com/pokemon/cards/shroodle/sv4a_ja-127?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%B7%E3%83%AB%E3%82%B7%E3%83%A5%E3%83%AB%E3%83%BC&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
128,Grafaiai #128 $0.06,https://scrydex.com/pokemon/cards/grafaiai/sv4a_ja-128?variant=normal,Grafaiai,タギングル,,https://images.scrydex.com/pokemon/sv4a_ja-128/medium,https://scrydex.com/pokemon/cards/grafaiai/sv4a_ja-128?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%BF%E3%82%AE%E3%83%B3%E3%82%B0%E3%83%AB&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
129,Scizor #129 $0.22,https://scrydex.com/pokemon/cards/scizor/sv4a_ja-129?variant=holofoil,Scizor,ハッサム,,https://images.scrydex.com/pokemon/sv4a_ja-129/medium,https://scrydex.com/pokemon/cards/scizor/sv4a_ja-129?variant=holofoil,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%8F%E3%83%83%E3%82%B5%E3%83%A0&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
130,Varoom #130 $0.10,https://scrydex.com/pokemon/cards/varoom/sv4a_ja-130?variant=normal,Varoom,ブロロン,,https://images.scrydex.com/pokemon/sv4a_ja-130/medium,https://scrydex.com/pokemon/cards/varoom/sv4a_ja-130?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%96%E3%83%AD%E3%83%AD%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
131,Revavroom #131 $0.14,https://scrydex.com/pokemon/cards/revavroom/sv4a_ja-131?variant=holofoil,Revavroom,ブロロローム,,https://images.scrydex.com/pokemon/sv4a_ja-131/medium,https://scrydex.com/pokemon/cards/revavroom/sv4a_ja-131?variant=holofoil,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%96%E3%83%AD%E3%83%AD%E3%83%AD%E3%83%BC%E3%83%A0&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
132,Iron Treads ex #132 $0.22,https://scrydex.com/pokemon/cards/iron-treads-ex/sv4a_ja-132?variant=holofoil,Iron Treads ex,テツノワダチex,S,https://images.scrydex.com/pokemon/sv4a_ja-132/medium,https://scrydex.com/pokemon/cards/iron-treads-ex/sv4a_ja-132?variant=holofoil,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%86%E3%83%84%E3%83%8E%E3%83%AF%E3%83%80%E3%83%81ex&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
133,Gholdengo #133 $0.09,https://scrydex.com/pokemon/cards/gholdengo/sv4a_ja-133?variant=normal,Gholdengo,サーフゴー,,https://images.scrydex.com/pokemon/sv4a_ja-133/medium,https://scrydex.com/pokemon/cards/gholdengo/sv4a_ja-133?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%B5%E3%83%BC%E3%83%95%E3%82%B4%E3%83%BC&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
134,Noibat #134 $0.08,https://scrydex.com/pokemon/cards/noibat/sv4a_ja-134?variant=normal,Noibat,オンバット,,https://images.scrydex.com/pokemon/sv4a_ja-134/medium,https://scrydex.com/pokemon/cards/noibat/sv4a_ja-134?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AA%E3%83%B3%E3%83%90%E3%83%83%E3%83%88&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
135,Noivern ex #135 $0.24,https://scrydex.com/pokemon/cards/noivern-ex/sv4a_ja-135?variant=holofoil,Noivern ex,オンバーンex,S,https://images.scrydex.com/pokemon/sv4a_ja-135/medium,https://scrydex.com/pokemon/cards/noivern-ex/sv4a_ja-135?variant=holofoil,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AA%E3%83%B3%E3%83%90%E3%83%BC%E3%83%B3ex&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
136,Cyclizar #136 $0.03,https://scrydex.com/pokemon/cards/cyclizar/sv4a_ja-136?variant=normal,Cyclizar,モトトカゲ,,https://images.scrydex.com/pokemon/sv4a_ja-136/medium,https://scrydex.com/pokemon/cards/cyclizar/sv4a_ja-136?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%A2%E3%83%88%E3%83%88%E3%82%AB%E3%82%B2&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
