set_code,set_id,card_number,scrydex_english_name,db_japanese_name,scrydex_card_url
XY,a0688785-c0ff-43fa-84fa-48d14432b701,12,Camerupt-EX,バクーダEX,https://scrydex.com/pokemon/cards/camerupt-ex/xy_ja-12?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,55,Trevenant BREAK,オーロットBREAK,https://scrydex.com/pokemon/cards/trevenant-break/xy_ja-55?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,58,Hoopa-EX,フーパEX,https://scrydex.com/pokemon/cards/hoopa-ex/xy_ja-58?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,61,Regirock-EX,レジロックEX,https://scrydex.com/pokemon/cards/regirock-ex/xy_ja-61?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,62,Lucario-EX,ルカリオEX,https://scrydex.com/pokemon/cards/lucario-ex/xy_ja-62?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,63,M Lucario-EX,megaルカリオEX,https://scrydex.com/pokemon/cards/m-lucario-ex/xy_ja-63?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,67,Carbink BREAK,メレシーBREAK,https://scrydex.com/pokemon/cards/carbink-break/xy_ja-67?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,69,Zygarde-EX,ジガルデEX,https://scrydex.com/pokemon/cards/zygarde-ex/xy_ja-69?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,70,Sharpedo-EX,サメハダーEX,https://scrydex.com/pokemon/cards/sharpedo-ex/xy_ja-70?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,71,M Sharpedo-EX,megaサメハダーEX,https://scrydex.com/pokemon/cards/m-sharpedo-ex/xy_ja-71?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,72,Darkrai-EX,ダークライEX,https://scrydex.com/pokemon/cards/darkrai-ex/xy_ja-72?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,75,Zoroark BREAK,ゾロアークBREAK,https://scrydex.com/pokemon/cards/zoroark-break/xy_ja-75?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,76,Malamar-EX,カラマネロEX,https://scrydex.com/pokemon/cards/malamar-ex/xy_ja-76?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,79,Yveltal-EX,イベルタルEX,https://scrydex.com/pokemon/cards/yveltal-ex/xy_ja-79?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,83,Bronzong BREAK,ドータクンBREAK,https://scrydex.com/pokemon/cards/bronzong-break/xy_ja-83?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,86,Genesect-EX,ゲノセクトEX,https://scrydex.com/pokemon/cards/genesect-ex/xy_ja-86?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,87,Aegislash-EX,ギルガルドEX,https://scrydex.com/pokemon/cards/aegislash-ex/xy_ja-87?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,89,Magearna-EX,マギアナEX,https://scrydex.com/pokemon/cards/magearna-ex/xy_ja-89?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,91,Gardevoir-EX,サーナイトEX,https://scrydex.com/pokemon/cards/gardevoir-ex/xy_ja-91?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,92,M Gardevoir-EX,megaサーナイトEX,https://scrydex.com/pokemon/cards/m-gardevoir-ex/xy_ja-92?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,97,Xerneas BREAK,ゼルネアスBREAK,https://scrydex.com/pokemon/cards/xerneas-break/xy_ja-97?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,98,Giratina-EX,ギラティナEX,https://scrydex.com/pokemon/cards/giratina-ex/xy_ja-98?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,99,Hydreigon-EX,サザンドラEX,https://scrydex.com/pokemon/cards/hydreigon-ex/xy_ja-99?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,103,Lugia-EX,ルギアEX,https://scrydex.com/pokemon/cards/lugia-ex/xy_ja-103?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,104,Rayquaza-EX,レックウザEX,https://scrydex.com/pokemon/cards/rayquaza-ex/xy_ja-104?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,105,M Rayquaza-EX,megaレックウザEX,https://scrydex.com/pokemon/cards/m-rayquaza-ex/xy_ja-105?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,106,Shaymin-EX,シェイミEX,https://scrydex.com/pokemon/cards/shaymin-ex/xy_ja-106?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,172,M Camerupt-EX,megaバクーダEX,https://scrydex.com/pokemon/cards/m-camerupt-ex/xy_ja-172?variant=holofoil
XY,a0688785-c0ff-43fa-84fa-48d14432b701,173,Jolteon-EX,サンダースEX,https://scrydex.com/pokemon/cards/jolteon-ex/xy_ja-173?variant=holofoil
