set_code,set_name,scrydex_id,card_number,scrydex_name,scrydex_rarity,scrydex_image_url,scrydex_card_url,scrydex_set_url,resolved_japanese_name,resolution_method,resolution_status,candidate_japanese_names
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,2,Exeggutor,C,https://images.scrydex.com/pokemon/xy6_ja-2/medium,https://scrydex.com/pokemon/cards/exeggutor/xy6_ja-2?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ナッシー[Exeggutor],GLOBAL_UNANIMOUS,RESOLVED,ナッシー[Exeggutor]
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,9,Nincada,C,https://images.scrydex.com/pokemon/xy6_ja-9/medium,https://scrydex.com/pokemon/cards/nincada/xy6_ja-9?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ツチニン,GLOBAL_UNANIMOUS,RESOLVED,ツチニン
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,11,Shedinja,U,https://images.scrydex.com/pokemon/xy6_ja-11/medium,https://scrydex.com/pokemon/cards/shedinja/xy6_ja-11?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ヌケニン,GLOBAL_UNANIMOUS,RESOLVED,ヌケニン
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,13,Fletchinder,C,https://images.scrydex.com/pokemon/xy6_ja-13/medium,https://scrydex.com/pokemon/cards/fletchinder/xy6_ja-13?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ヒノヤコマ,GLOBAL_UNANIMOUS,RESOLVED,ヒノヤコマ
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,14,Talonflame,U,https://images.scrydex.com/pokemon/xy6_ja-14/medium,https://scrydex.com/pokemon/cards/talonflame/xy6_ja-14?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ファイアロー,GLOBAL_UNANIMOUS,RESOLVED,ファイアロー
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,15,Articuno,U,https://images.scrydex.com/pokemon/xy6_ja-15/medium,https://scrydex.com/pokemon/cards/articuno/xy6_ja-15?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,フリーザー,GLOBAL_UNANIMOUS,RESOLVED,フリーザー
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,16,Articuno,U,https://images.scrydex.com/pokemon/xy6_ja-16/medium,https://scrydex.com/pokemon/cards/articuno/xy6_ja-16?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,フリーザー,GLOBAL_UNANIMOUS,RESOLVED,フリーザー
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,19,Voltorb,C,https://images.scrydex.com/pokemon/xy6_ja-19/medium,https://scrydex.com/pokemon/cards/voltorb/xy6_ja-19?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ビリリダマ,GLOBAL_UNANIMOUS,RESOLVED,ビリリダマ
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,20,Electrode,C,https://images.scrydex.com/pokemon/xy6_ja-20/medium,https://scrydex.com/pokemon/cards/electrode/xy6_ja-20?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,マルマイン,GLOBAL_UNANIMOUS,RESOLVED,マルマイン
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,21,Zapdos,U,https://images.scrydex.com/pokemon/xy6_ja-21/medium,https://scrydex.com/pokemon/cards/zapdos/xy6_ja-21?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,サンダー,GLOBAL_UNANIMOUS,RESOLVED,サンダー
