set_code,set_name,scrydex_id,card_number,scrydex_name,scrydex_rarity,scrydex_image_url,scrydex_card_url,scrydex_set_url,resolved_japanese_name,resolution_method,resolution_status,candidate_japanese_names
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,1,Exeggcute,C,https://images.scrydex.com/pokemon/xy6_ja-1/medium,https://scrydex.com/pokemon/cards/exeggcute/xy6_ja-1?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,2,Exeggutor,C,https://images.scrydex.com/pokemon/xy6_ja-2/medium,https://scrydex.com/pokemon/cards/exeggutor/xy6_ja-2?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ナッシー[Exeggutor],GLOBAL_UNANIMOUS,RESOLVED,ナッシー[Exeggutor]
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,3,Wurmple,C,https://images.scrydex.com/pokemon/xy6_ja-3/medium,https://scrydex.com/pokemon/cards/wurmple/xy6_ja-3?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,4,Silcoon,C,https://images.scrydex.com/pokemon/xy6_ja-4/medium,https://scrydex.com/pokemon/cards/silcoon/xy6_ja-4?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,5,Beautifly,R,https://images.scrydex.com/pokemon/xy6_ja-5/medium,https://scrydex.com/pokemon/cards/beautifly/xy6_ja-5?variant=firstEditionHolofoil,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,6,Cascoon,C,https://images.scrydex.com/pokemon/xy6_ja-6/medium,https://scrydex.com/pokemon/cards/cascoon/xy6_ja-6?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,7,Dustox,C,https://images.scrydex.com/pokemon/xy6_ja-7/medium,https://scrydex.com/pokemon/cards/dustox/xy6_ja-7?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,8,Dustox,C,https://images.scrydex.com/pokemon/xy6_ja-8/medium,https://scrydex.com/pokemon/cards/dustox/xy6_ja-8?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,9,Nincada,C,https://images.scrydex.com/pokemon/xy6_ja-9/medium,https://scrydex.com/pokemon/cards/nincada/xy6_ja-9?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ツチニン,GLOBAL_UNANIMOUS,RESOLVED,ツチニン
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,10,Ninjask,C,https://images.scrydex.com/pokemon/xy6_ja-10/medium,https://scrydex.com/pokemon/cards/ninjask/xy6_ja-10?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,11,Shedinja,U,https://images.scrydex.com/pokemon/xy6_ja-11/medium,https://scrydex.com/pokemon/cards/shedinja/xy6_ja-11?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ヌケニン,GLOBAL_UNANIMOUS,RESOLVED,ヌケニン
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,12,Tropius,C,https://images.scrydex.com/pokemon/xy6_ja-12/medium,https://scrydex.com/pokemon/cards/tropius/xy6_ja-12?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,13,Fletchinder,C,https://images.scrydex.com/pokemon/xy6_ja-13/medium,https://scrydex.com/pokemon/cards/fletchinder/xy6_ja-13?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ヒノヤコマ,GLOBAL_UNANIMOUS,RESOLVED,ヒノヤコマ
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,14,Talonflame,U,https://images.scrydex.com/pokemon/xy6_ja-14/medium,https://scrydex.com/pokemon/cards/talonflame/xy6_ja-14?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ファイアロー,GLOBAL_UNANIMOUS,RESOLVED,ファイアロー
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,15,Articuno,U,https://images.scrydex.com/pokemon/xy6_ja-15/medium,https://scrydex.com/pokemon/cards/articuno/xy6_ja-15?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,フリーザー,GLOBAL_UNANIMOUS,RESOLVED,フリーザー
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,16,Articuno,U,https://images.scrydex.com/pokemon/xy6_ja-16/medium,https://scrydex.com/pokemon/cards/articuno/xy6_ja-16?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,フリーザー,GLOBAL_UNANIMOUS,RESOLVED,フリーザー
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,17,Wingull,C,https://images.scrydex.com/pokemon/xy6_ja-17/medium,https://scrydex.com/pokemon/cards/wingull/xy6_ja-17?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,18,Pelipper,C,https://images.scrydex.com/pokemon/xy6_ja-18/medium,https://scrydex.com/pokemon/cards/pelipper/xy6_ja-18?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,19,Voltorb,C,https://images.scrydex.com/pokemon/xy6_ja-19/medium,https://scrydex.com/pokemon/cards/voltorb/xy6_ja-19?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ビリリダマ,GLOBAL_UNANIMOUS,RESOLVED,ビリリダマ
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,20,Electrode,C,https://images.scrydex.com/pokemon/xy6_ja-20/medium,https://scrydex.com/pokemon/cards/electrode/xy6_ja-20?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,マルマイン,GLOBAL_UNANIMOUS,RESOLVED,マルマイン
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,21,Zapdos,U,https://images.scrydex.com/pokemon/xy6_ja-21/medium,https://scrydex.com/pokemon/cards/zapdos/xy6_ja-21?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,サンダー,GLOBAL_UNANIMOUS,RESOLVED,サンダー
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,22,Thundurus-EX,RR,https://images.scrydex.com/pokemon/xy6_ja-22/medium,https://scrydex.com/pokemon/cards/thundurus-ex/xy6_ja-22?variant=firstEditionHolofoil,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,ボルトロスEX,SAME_SET_UNANIMOUS,RESOLVED,ボルトロスEX
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,23,Natu,C,https://images.scrydex.com/pokemon/xy6_ja-23/medium,https://scrydex.com/pokemon/cards/natu/xy6_ja-23?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,24,Natu,C,https://images.scrydex.com/pokemon/xy6_ja-24/medium,https://scrydex.com/pokemon/cards/natu/xy6_ja-24?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,25,Xatu,C,https://images.scrydex.com/pokemon/xy6_ja-25/medium,https://scrydex.com/pokemon/cards/xatu/xy6_ja-25?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,26,Shuppet,C,https://images.scrydex.com/pokemon/xy6_ja-26/medium,https://scrydex.com/pokemon/cards/shuppet/xy6_ja-26?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,27,Banette,U,https://images.scrydex.com/pokemon/xy6_ja-27/medium,https://scrydex.com/pokemon/cards/banette/xy6_ja-27?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,28,Banette,U,https://images.scrydex.com/pokemon/xy6_ja-28/medium,https://scrydex.com/pokemon/cards/banette/xy6_ja-28?variant=firstEdition,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,,NO_LEARNED_NAME,UNRESOLVED,
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,29,Deoxys,R,https://images.scrydex.com/pokemon/xy6_ja-29/medium,https://scrydex.com/pokemon/cards/deoxys/xy6_ja-29?variant=firstEditionHolofoil,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,デオキシス,GLOBAL_UNANIMOUS,RESOLVED,デオキシス
XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,30,Gallade-EX,RR,https://images.scrydex.com/pokemon/xy6_ja-30/medium,https://scrydex.com/pokemon/cards/gallade-ex/xy6_ja-30?variant=firstEditionHolofoil,https://scrydex.com/pokemon/expansions/emerald-break/xy6_ja,エルレイドEX,SAME_SET_UNANIMOUS,RESOLVED,エルレイドEX
