set_code,set_name,card_number_numeric,db_card_number,db_name,db_rarity,db_variant,db_image_url,found_in_scrydex,scrydex_card_url
XY,ハイクラスパック「THE BEST OF XY」,12,012,バクーダEX,,normal,https://images.scrydex.com/pokemon/xy_ja-12/medium,YES,https://scrydex.com/pokemon/cards/camerupt-ex/xy_ja-12?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,55,055,オーロットBREAK,,normal,https://images.scrydex.com/pokemon/xy_ja-55/medium,YES,https://scrydex.com/pokemon/cards/trevenant-break/xy_ja-55?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,58,058,フーパEX,,normal,https://images.scrydex.com/pokemon/xy_ja-58/medium,YES,https://scrydex.com/pokemon/cards/hoopa-ex/xy_ja-58?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,61,061,レジロックEX,,normal,https://images.scrydex.com/pokemon/xy_ja-61/medium,YES,https://scrydex.com/pokemon/cards/regirock-ex/xy_ja-61?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,62,062,ルカリオEX,,normal,https://images.scrydex.com/pokemon/xy_ja-62/medium,YES,https://scrydex.com/pokemon/cards/lucario-ex/xy_ja-62?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,63,063,megaルカリオEX,,normal,https://images.scrydex.com/pokemon/xy_ja-63/medium,YES,https://scrydex.com/pokemon/cards/m-lucario-ex/xy_ja-63?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,67,067,メレシーBREAK,,normal,https://images.scrydex.com/pokemon/xy_ja-67/medium,YES,https://scrydex.com/pokemon/cards/carbink-break/xy_ja-67?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,69,069,ジガルデEX,,normal,https://images.scrydex.com/pokemon/xy_ja-69/medium,YES,https://scrydex.com/pokemon/cards/zygarde-ex/xy_ja-69?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,70,070,サメハダーEX,,normal,https://images.scrydex.com/pokemon/xy_ja-70/medium,YES,https://scrydex.com/pokemon/cards/sharpedo-ex/xy_ja-70?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,71,071,megaサメハダーEX,,normal,https://images.scrydex.com/pokemon/xy_ja-71/medium,YES,https://scrydex.com/pokemon/cards/m-sharpedo-ex/xy_ja-71?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,72,072,ダークライEX,,normal,https://images.scrydex.com/pokemon/xy_ja-72/medium,YES,https://scrydex.com/pokemon/cards/darkrai-ex/xy_ja-72?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,75,075,ゾロアークBREAK,,normal,https://images.scrydex.com/pokemon/xy_ja-75/medium,YES,https://scrydex.com/pokemon/cards/zoroark-break/xy_ja-75?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,76,076,カラマネロEX,,normal,https://images.scrydex.com/pokemon/xy_ja-76/medium,YES,https://scrydex.com/pokemon/cards/malamar-ex/xy_ja-76?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,79,079,イベルタルEX,,normal,https://images.scrydex.com/pokemon/xy_ja-79/medium,YES,https://scrydex.com/pokemon/cards/yveltal-ex/xy_ja-79?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,83,083,ドータクンBREAK,,normal,https://images.scrydex.com/pokemon/xy_ja-83/medium,YES,https://scrydex.com/pokemon/cards/bronzong-break/xy_ja-83?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,86,086,ゲノセクトEX,,normal,https://images.scrydex.com/pokemon/xy_ja-86/medium,YES,https://scrydex.com/pokemon/cards/genesect-ex/xy_ja-86?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,87,087,ギルガルドEX,,normal,https://images.scrydex.com/pokemon/xy_ja-87/medium,YES,https://scrydex.com/pokemon/cards/aegislash-ex/xy_ja-87?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,89,089,マギアナEX,,normal,https://images.scrydex.com/pokemon/xy_ja-89/medium,YES,https://scrydex.com/pokemon/cards/magearna-ex/xy_ja-89?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,91,091,サーナイトEX,,normal,https://images.scrydex.com/pokemon/xy_ja-91/medium,YES,https://scrydex.com/pokemon/cards/gardevoir-ex/xy_ja-91?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,92,092,megaサーナイトEX,,normal,https://images.scrydex.com/pokemon/xy_ja-92/medium,YES,https://scrydex.com/pokemon/cards/m-gardevoir-ex/xy_ja-92?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,97,097,ゼルネアスBREAK,,normal,https://images.scrydex.com/pokemon/xy_ja-97/medium,YES,https://scrydex.com/pokemon/cards/xerneas-break/xy_ja-97?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,98,098,ギラティナEX,,normal,https://images.scrydex.com/pokemon/xy_ja-98/medium,YES,https://scrydex.com/pokemon/cards/giratina-ex/xy_ja-98?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,99,099,サザンドラEX,,normal,https://images.scrydex.com/pokemon/xy_ja-99/medium,YES,https://scrydex.com/pokemon/cards/hydreigon-ex/xy_ja-99?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,103,103,ルギアEX,,normal,https://images.scrydex.com/pokemon/xy_ja-103/medium,YES,https://scrydex.com/pokemon/cards/lugia-ex/xy_ja-103?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,104,104,レックウザEX,,normal,https://images.scrydex.com/pokemon/xy_ja-104/medium,YES,https://scrydex.com/pokemon/cards/rayquaza-ex/xy_ja-104?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,105,105,megaレックウザEX,,normal,https://images.scrydex.com/pokemon/xy_ja-105/medium,YES,https://scrydex.com/pokemon/cards/m-rayquaza-ex/xy_ja-105?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,106,106,シェイミEX,,normal,https://images.scrydex.com/pokemon/xy_ja-106/medium,YES,https://scrydex.com/pokemon/cards/shaymin-ex/xy_ja-106?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,172,172,megaバクーダEX,,normal,https://images.scrydex.com/pokemon/xy_ja-172/medium,YES,https://scrydex.com/pokemon/cards/m-camerupt-ex/xy_ja-172?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,173,173,サンダースEX,,normal,https://images.scrydex.com/pokemon/xy_ja-173/medium,YES,https://scrydex.com/pokemon/cards/jolteon-ex/xy_ja-173?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,174,174,megaライボルトEX,,normal,https://images.scrydex.com/pokemon/xy_ja-174/medium,YES,https://scrydex.com/pokemon/cards/m-manectric-ex/xy_ja-174?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,175,175,レジロックEX,,normal,https://images.scrydex.com/pokemon/xy_ja-175/medium,YES,https://scrydex.com/pokemon/cards/regirock-ex/xy_ja-175?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,176,176,megaルカリオEX,,normal,https://images.scrydex.com/pokemon/xy_ja-176/medium,YES,https://scrydex.com/pokemon/cards/m-lucario-ex/xy_ja-176?variant=holofoil
