set_code,set_name,scrydex_id,card_number,scrydex_name,scrydex_rarity,scrydex_image_url,scrydex_card_url,scrydex_set_url,resolved_japanese_name,resolution_method,resolution_status,page_candidates,final_scrydex_card_url
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,1,Oddish,,https://images.scrydex.com/pokemon/xy_ja-1/medium,https://scrydex.com/pokemon/cards/oddish/xy_ja-1?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,ナゾノクサ,SCRYDEX_DETAIL_HEADING_AFTER_H1,RESOLVED,HEADING_AFTER_H1:ナゾノクサ,https://scrydex.com/pokemon/cards/oddish/xy_ja-1?variant=normal
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,2,Gloom,,https://images.scrydex.com/pokemon/xy_ja-2/medium,https://scrydex.com/pokemon/cards/gloom/xy_ja-2?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,クサイハナ,SCRYDEX_DETAIL_HEADING_AFTER_H1,RESOLVED,HEADING_AFTER_H1:クサイハナ,https://scrydex.com/pokemon/cards/gloom/xy_ja-2?variant=normal
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,3,Vileplume,,https://images.scrydex.com/pokemon/xy_ja-3/medium,https://scrydex.com/pokemon/cards/vileplume/xy_ja-3?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,ラフレシア,SCRYDEX_DETAIL_HEADING_AFTER_H1,RESOLVED,HEADING_AFTER_H1:ラフレシア,https://scrydex.com/pokemon/cards/vileplume/xy_ja-3?variant=normal
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,4,Spinarak,,https://images.scrydex.com/pokemon/xy_ja-4/medium,https://scrydex.com/pokemon/cards/spinarak/xy_ja-4?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,イトマル,SCRYDEX_DETAIL_HEADING_AFTER_H1,RESOLVED,HEADING_AFTER_H1:イトマル,https://scrydex.com/pokemon/cards/spinarak/xy_ja-4?variant=normal
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,5,Ariados,,https://images.scrydex.com/pokemon/xy_ja-5/medium,https://scrydex.com/pokemon/cards/ariados/xy_ja-5?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,アリアドス,SCRYDEX_DETAIL_HEADING_AFTER_H1,RESOLVED,HEADING_AFTER_H1:アリアドス,https://scrydex.com/pokemon/cards/ariados/xy_ja-5?variant=normal
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,6,Sceptile-EX,,https://images.scrydex.com/pokemon/xy_ja-6/medium,https://scrydex.com/pokemon/cards/sceptile-ex/xy_ja-6?variant=holofoil,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,ジュカインEX,SCRYDEX_DETAIL_HEADING_AFTER_H1,RESOLVED,HEADING_AFTER_H1:ジュカインEX,https://scrydex.com/pokemon/cards/sceptile-ex/xy_ja-6?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,7,M Sceptile-EX,,https://images.scrydex.com/pokemon/xy_ja-7/medium,https://scrydex.com/pokemon/cards/m-sceptile-ex/xy_ja-7?variant=holofoil,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,ジュカインEX,SCRYDEX_DETAIL_HEADING_AFTER_H1,RESOLVED,HEADING_AFTER_H1:ジュカインEX,https://scrydex.com/pokemon/cards/m-sceptile-ex/xy_ja-7?variant=holofoil
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,8,Combee,,https://images.scrydex.com/pokemon/xy_ja-8/medium,https://scrydex.com/pokemon/cards/combee/xy_ja-8?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,ミツハニー,SCRYDEX_DETAIL_HEADING_AFTER_H1,RESOLVED,HEADING_AFTER_H1:ミツハニー,https://scrydex.com/pokemon/cards/combee/xy_ja-8?variant=normal
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,9,Vespiquen,,https://images.scrydex.com/pokemon/xy_ja-9/medium,https://scrydex.com/pokemon/cards/vespiquen/xy_ja-9?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,ビークイン,SCRYDEX_DETAIL_HEADING_AFTER_H1,RESOLVED,HEADING_AFTER_H1:ビークイン,https://scrydex.com/pokemon/cards/vespiquen/xy_ja-9?variant=normal
XY,ハイクラスパック「THE BEST OF XY」,xy_ja,10,Flareon,,https://images.scrydex.com/pokemon/xy_ja-10/medium,https://scrydex.com/pokemon/cards/flareon/xy_ja-10?variant=normal,https://scrydex.com/pokemon/expansions/the-best-of-xy/xy_ja,ブースター,SCRYDEX_DETAIL_HEADING_AFTER_H1,RESOLVED,HEADING_AFTER_H1:ブースター,https://scrydex.com/pokemon/cards/flareon/xy_ja-10?variant=normal
